values	weights
EMINE	104
MAKKA	104
ISABELA	104
PAVLINA	104
JANKA	104
TAIDA	103
HADAR	103
KARIONA	103
JUSTINA	103
IVONA	103
NOAM	103
NICOLETA	103
ALANA	102
CHLOÉ	102
RAYANA	102
SORAYA	102
GIOVANNA	102
RAJMUNDA	102
STEFANIYA	102
MONIQUE	102
GIORGIA	101
ORIT	101
TAMARI	101
FRIEDA	101
JOANA	101
RENISŁAWA	100
HASMIK	100
ASYA	100
DAGNY	100
LIDZIYA	100
ELLIE	100
HENRIETTA	100
DINARA	100
LALI	99
AMINAT	99
MAKSYMILIANA	99
TALI	99
KATHRYN	99
EFRAT	99
MICHELE	99
ELISE	99
BÜŞRA	98
IRAIDA	98
INDIA	98
CHRISTA	98
RUBY	98
RADA	97
AYELET	97
DERYA	97
MARGITA	97
SOLOMIYA	97
PETIMAT	97
DAGMAR	97
RIMMA	97
ELLI	96
ARIELA	96
MAI	96
ANABELLA	96
MAY	96
YING	96
KWIRYNA	96
NAAMA	96
HOLLY	95
LILIJA	95
DIANE	95
AMÉLIE	95
FELICIA	95
SALWINA	95
VALERIE	95
BIBIANA	95
SAFIYA	94
JANE	94
ELİF	94
KLAVDIIA	94
MICHELA	94
ARMINE	93
YEVHENIYA	93
MATHILDA	93
IVETA	93
IWANNA	93
JOANNE	93
MÁRIA	93
GEORGIA	92
SAWA	92
MARTIKA	92
CHANA	92
MAKA	92
MYRIAM	92
INBAL	92
JANETA	92
CAROLIN	91
ARIEL	91
MERI	91
ROSITA	91
JANETTA	91
SYDONIA	91
DAROMIŁA	90
BURCU	90
ANDRZELINA	90
EDEN	90
ORESTA	90
AIGERIM	90
FRANZISKA	90
NAWOJKA	90
KAROLINE	89
CELIA	89
AUDREY	89
KORALIA	89
LYUDMILA	89
ROSALIA	89
CATALEYA	88
SUZAN	88
SEVDA	88
SIGRID	88
YAN	88
GINA	88
ALISON	88
MYLANA	88
EINAT	88
KERSTIN	88
VIKTORIJA	87
KATHLEEN	87
JING	87
MIŁA	87
LOUISA	87
WIOLA	87
MARI	87
ANNELIESE	87
KLARYSA	87
THUY	87
ROSALIE	86
BRUNHILDA	86
TOSIA	86
ANZELMA	86
ZAHRA	86
BERNADETTE	86
HADAS	86
ROSWITA	86
GIZEM	85
DOMINICA	85
CHEN	85
JENIFER	85
LIOR	85
MARIELA	85
PHUONG	85
CORINA	85
MATILDE	85
ALBA	85
ILARIA	85
GAYA	84
LEOPOLDA	84
ATENA	84
ALINE	84
YULIANNA	84
CANSU	84
YEVGENIYA	84
ARNIKA	84
LI	84
TESSA	84
REBECA	84
YEVDOKIIA	83
SOFÍA	83
DALIDA	83
ALBERTA	83
MOR	83
IVY	83
EBRU	83
ANETTE	83
THEA	83
LIHI	83
MARGARETTA	82
DAFNA	82
ESTELLE	82
EUZEBIA	82
ESMERALDA	82
LÉNA	82
NADEZDA	82
RUSŁANA	81
ALEXA	81
INBAR	81
ALISHA	81
LUANA	81
ZAREMA	81
SELINA	81
THU	81
KLOTYLDA	81
ELISABETTA	81
SASHA	81
BOHDANNA	81
SILVANA	81
INGE	80
AMAL	80
FLAWIA	80
JEKATIERINA	80
JÚLIA	80
ALEXIS	80
WALDEMARA	80
ANNA-MARIIA	80
ADELE	80
RADZISŁAWA	80
BRIGIDA	80
MELANIIA	79
YUSTYNA	79
JULIET	79
SHEILA	79
SYLVIE	79
TACJANA	78
LORETA	78
LIYA	78
BAZHENA	78
MORAN	78
LUDMYŁA	78
MARLENE	78
WENESA	78
LILLIANA	78
GERTRUD	78
TARSYLIA	78
GALIA	78
TANYA	77
MELINA	77
MARKHA	77
ALODIA	77
AALIYAH	77
ADELHEID	77
IAROSLAVA	77
HORTENSJA	77
EMI	77
ELIDIA	76
LILIANE	76
KONSTANTYNA	76
SONYA	76
SERENA	76
SHORENA	76
ANABEL	75
MELA	75
ROMI	75
RUZANNA	75
EMILI	75
HEDWIG	74
HAŁYNA	74
MASZA	74
SOPIO	74
GERARDA	74
EVGENIA	74
SIBEL	74
DORINA	74
CATALINA	74
JAQUELINE	73
RONIT	73
LAETITIA	73
MIYA	73
ELIZABET	73
WITA	73
LECHOSŁAWA	73
ODETTA	73
KAYAH	73
ERIN	73
ALOJZJA	73
SIVAN	72
RANIA	72
KATALIN	72
EDA	72
THERESA	72
LATIKA	72
WITOSŁAWA	72
INDIRA	72
EKA	71
GALIT	71
DOBROMIRA	71
MARGARETHE	71
MILADA	71
TALIA	71
LAWINIA	71
NADINA	71
ZAIRA	71
RIVKA	71
ROXANNE	71
KONRADA	71
FREYA	71
IRA	70
IVA	70
HONG	70
OR	70
ELEANOR	70
LETIZIA	70
ANKA	70
TANJA	69
IULIANA	69
ALEKSA	69
MILENIA	69
ANISA	69
NICOLETTE	69
ERNESTA	69
TRAUTA	69
ANTONELLA	69
AISZA	69
EZGI	68
JOLITA	68
ELODIE	68
SENA	68
GRACIELA	68
SHIRLEY	68
FANNY	68
GALI	68
THANH	68
ROMY	68
VERONIQUE	68
IELYZAVETA	68
AGATHE	68
LEJLA	68
LEE	68
FABIENNE	68
PRISCILLA	67
GRYZELDA	67
RINA	67
CHAJA	67
NADYA	67
DUYGU	67
SHAHAR	67
SHELLY	67
GAMZE	67
AICHA	67
NELYA	67
ZLATOSLAVA	67
REUT	67
GOHAR	67
GILI	67
NATASCHA	67
ANASTASSIYA	67
ZHANA	66
CHELSEA	66
LAN	66
ÖZGE	66
ALEX	66
VIVIANE	66
MARŻOLENA	66
IRIT	66
SONA	66
ZELMA	66
KHADIZHAT	65
VIKA	65
NGOC	65
KARIMA	65
DANIEL	65
GULNARA	65
MELITA	65
ULADZISLAVA	65
ELENE	65
EVE	65
GUDRUN	65
ANGIELIKA	65
THERESE	65
WIRA	65
YEKATERINA	64
MARGHERITA	64
ROZANNA	64
IOANNA	64
WALENTINA	64
BRUNA	64
ALYSSA	64
LIIA	64
ZINOVIIA	64
JARMILA	64
LUDMYLA	64
ŚWIĘTOSŁAWA	64
ADEL	64
IVANKA	64
PRIYANKA	63
SANDY	63
ANH	63
MIEROSŁAWA	63
NATALKA	63
WITOLDA	63
DENIZ	63
BETTY	63
EUDOKIA	63
ODETA	63
IOANA	63
GIZELLA	63
MARISSA	63
DONNA	63
ALLISON	63
MERIEM	63
ROMANIIA	63
ANNABEL	63
GEMMA	62
MARGIT	62
ROZALIIA	62
NATÁLIA	62
ALVINA	62
CAROL	62
ZYGMUNTA	62
LAVINIA	62
CHANTELLE	62
ANDREEA	62
LOTTA	62
KARENA	62
NICOLLE	62
HERMENEGILDA	61
DAMLA	61
PHOEBE	61
ANELIA	61
MARCELLA	61
AHATA	61
LEIA	61
KARMELA	61
PINAR	61
MIKAELA	61
KATHY	61
NADIN	61
IANINA	61
WŁODZISŁAWA	60
VITALIYA	60
YADVIHA	60
SANA	60
ARZU	60
ASTRYDA	60
ZAINAB	60
EVIALINA	60
JAMILA	60
MARA	60
LIMOR	60
ANUSH	59
FERDYNANDA	59
ZALINA	59
BAR	59
ASLI	59
RUFINA	59
SHOSHANA	59
THI THUY	59
KLEOPATRA	59
ROSANA	59
ZOÉ	59
YARDEN	59
ROXANNA	59
LIV	59
WEI	59
IRINE	59
IMELDA	58
LUDOSŁAWA	58
FLORENCJA	58
ESTELLA	58
SANTANA	58
ANAIS	58
SOFI	58
EDELGARDA	58
CEREN	58
ELZBIETA	58
TINATIN	58
NITZAN	58
KATYA	58
NOYA	58
KRYSTINA	58
RAYISA	58
PATRYCIA	58
AYALA	57
VESNA	57
YU	57
ROSIE	57
DELIA	57
SAMUELA	57
