values	weights
ANNA	1053032
KATARZYNA	606814
MARIA	601501
MAŁGORZATA	581732
AGNIESZKA	549842
BARBARA	491058
EWA	481613
MAGDALENA	434596
ELŻBIETA	425218
KRYSTYNA	423395
JOANNA	405877
ALEKSANDRA	387570
MONIKA	378843
ZOFIA	377324
TERESA	343267
DANUTA	307054
NATALIA	302557
JULIA	297080
KAROLINA	290795
MARTA	287039
BEATA	281453
DOROTA	270009
HALINA	248784
ALICJA	248771
JADWIGA	245923
JOLANTA	240095
JANINA	237595
IWONA	234048
GRAŻYNA	232872
PAULINA	223618
IRENA	223093
JUSTYNA	216972
ZUZANNA	214101
BOŻENA	202404
WIKTORIA	200469
HANNA	194692
RENATA	189245
URSZULA	188192
AGATA	183046
SYLWIA	182937
HELENA	172745
MAJA	169624
PATRYCJA	169015
IZABELA	159304
EMILIA	156491
ANETA	151953
OLIWIA	151489
WERONIKA	150185
EWELINA	148166
MARTYNA	140935
KLAUDIA	138373
GABRIELA	131212
MARZENA	129989
MARIANNA	126854
LENA	122349
DOMINIKA	121431
STANISŁAWA	121294
KINGA	119903
AMELIA	117578
EDYTA	114473
KAMILA	109331
WIESŁAWA	108868
WANDA	98568
ALINA	87203
LIDIA	83206
MARIOLA	82692
LUCYNA	82117
NIKOLA	75549
MILENA	73094
DARIA	72830
WIOLETTA	72771
MIROSŁAWA	71902
ANGELIKA	64893
LAURA	62929
ANTONINA	60599
KAZIMIERA	60121
BOGUMIŁA	56474
GENOWEFA	55547
OLGA	55163
SANDRA	53881
ILONA	51974
MICHALINA	51968
HENRYKA	49798
NADIA	48801
JÓZEFA	48592
MARLENA	48458
SABINA	48155
BOGUSŁAWA	48151
STEFANIA	47540
KORNELIA	47230
ŁUCJA	46978
ANITA	45356
REGINA	45213
IGA	41812
CZESŁAWA	41598
LILIANA	41300
WŁADYSŁAWA	41131
MARCELINA	40543
JAGODA	39940
ANIELA	39710
POLA	39146
NINA	38860
WIOLETA	34470
ADRIANNA	33005
KARINA	32187
ROKSANA	31833
DAGMARA	31637
TETIANA	30955
NATALIIA	30944
MALWINA	29751
SARA	29636
CECYLIA	28724
OLENA	28354
IRYNA	27787
ŻANETA	27187
ZDZISŁAWA	26966
ELIZA	26864
LEOKADIA	26337
OKSANA	25354
RÓŻA	24546
BRONISŁAWA	23744
KAJA	23636
BERNADETA	23163
EUGENIA	23136
KLARA	22956
BLANKA	22319
SVITLANA	22164
ANASTAZJA	22020
JULITA	21745
OLHA	21589
ALDONA	21160
DANIELA	20543
ROZALIA	20046
DIANA	19887
VIOLETTA	19358
MARIIA	18421
MAGDA	18293
LILIANNA	17921
CELINA	17901
YULIIA	17792
HONORATA	16404
MATYLDA	16110
VIKTORIIA	16054
ADRIANA	15606
PAULA	15309
ANASTASIIA	15091
LIUDMYLA	14773
BRYGIDA	14762
KATERYNA	14416
IZABELLA	14290
GERTRUDA	13966
AURELIA	13830
MIECZYSŁAWA	13750
NELA	13598
KALINA	13433
MARIKA	13080
BOŻENNA	12962
SONIA	12623
ELWIRA	12622
MARZANNA	12439
HALYNA	12303
ANDŻELIKA	11816
OLIVIA	11494
ARLETA	11325
MARYNA	10835
LUIZA	10383
ADELA	9997
FRANCISZKA	9852
VALENTYNA	9719
JUDYTA	9694
TATIANA	9285
NICOLE	9175
NADIIA	9143
VICTORIA	9102
NICOLA	8940
NATASZA	8937
ALFREDA	8835
JOWITA	8655
TAMARA	8157
VANESSA	8096
INNA	8064
LIWIA	8013
APOLONIA	7989
MIA	7899
ROMANA	7871
INGA	7570
JESSICA	7511
JULIANNA	7454
LUDWIKA	7382
MARZENNA	7366
MELANIA	7329
LARYSA	7318
ELEONORA	7265
ADA	7160
ESTERA	7113
WACŁAWA	6850
ZENONA	6821
LIUBOV	6781
BERNADETTA	6641
BIANKA	6472
OLEKSANDRA	6425
YANA	6373
ELENA	6348
DONATA	6150
WALENTYNA	6120
LUDMIŁA	6064
ANETTA	6043
FELICJA	6017
HILDEGARDA	6015
ZENOBIA	5934
ALLA	5891
ROMUALDA	5687
OTYLIA	5460
AMANDA	5436
GIZELA	5395
RITA	5325
IDA	5311
MAYA	5293
LILIA	5132
IRMINA	5114
LILIIA	5054
PELAGIA	4885
SŁAWOMIRA	4746
ERYKA	4729
LILLA	4707
BERNARDA	4664
SOFIIA	4622
EMMA	4608
ALONA	4483
LONGINA	4417
TEODOZJA	4259
WALERIA	4251
RYSZARDA	4240
TEODORA	4149
IVANNA	3965
MARIANA	3950
VALERIIA	3934
ADELAJDA	3912
VERONIKA	3855
KAMILLA	3849
MIRELA	3834
ALBINA	3815
GAJA	3800
SOFIA	3619
KHRYSTYNA	3617
FAUSTYNA	3551
LILA	3524
ALEXANDRA	3501
SAMANTA	3389
OLIMPIA	3363
ZOJA	3205
MARYLA	3201
LESIA	3183
MARCELA	3171
ALENA	3150
LUCJA	3124
VIKTORIA	3083
ANGELINA	3069
ZYTA	3042
FELIKSA	2981
VIRA	2923
OKTAWIA	2891
LEONARDA	2884
KSENIA	2849
KONSTANCJA	2836
JAGNA	2824
PAMELA	2764
WANESSA	2682
YEVHENIIA	2679
YELYZAVETA	2614
NEL	2609
CLAUDIA	2548
NOEMI	2534
BOGNA	2510
YULIYA	2503
TATSIANA	2470
MIRELLA	2453
ANASTASIYA	2441
RUSLANA	2376
SOPHIE	2357
OLESIA	2331
INEZ	2318
BOLESŁAWA	2310
KRZYSZTOFA	2305
MARIYA	2304
EMILY	2288
NATALLIA	2257
VOLHA	2246
NADZIEJA	2198
EDWARDA	2188
MARINA	2184
KATSIARYNA	2175
KARYNA	2170
POLINA	2170
ELFRYDA	2160
MICHELLE	2140
NATALIYA	2140
SALOMEA	2132
VITA	2124
STELLA	2124
IRINA	2115
OLA	2104
TOLA	2092
MARHARYTA	2074
LIDIIA	2050
SARAH	2048
LEA	2035
ANGELA	1991
EDELTRAUDA	1961
MIRIAM	1891
JAŚMINA	1884
KRISTINA	1862
INES	1856
MYROSLAVA	1844
ULIANA	1829
GALYNA	1817
ZHANNA	1809
RAISA	1787
EVA	1782
NATALIE	1773
IZA	1755
ANHELINA	1739
ANTONIA	1731
MARIETTA	1723
ANZHELA	1717
ARLETTA	1716
ROMA	1707
DARYNA	1693
ANA	1678
MANUELA	1675
KLEMENTYNA	1672
KLAUDYNA	1643
MILA	1608
WIERA	1603
RUTA	1603
LARA	1590
DARYA	1565
HELGA	1564
KSENIIA	1530
GRETA	1530
ALISA	1528
SOPHIA	1470
GERDA	1469
MARYIA	1458
IULIIA	1432
ANDREA	1432
ANASTASIA	1418
FLORENTYNA	1418
MARTINA	1398
LIVIA	1385
DOBROSŁAWA	1369
VERONICA	1358
SVIATLANA	1352
EULALIA	1347
IRMGARDA	1340
TETYANA	1336
DARIIA	1329
BERNARDYNA	1314
ERIKA	1309
JAROSŁAWA	1305
ALA	1288
TEOFILA	1274
MALINA	1254
GLORIA	1250
VIKTORYIA	1246
LINDA	1244
NIKOL	1244
NICOL	1237
ZINAIDA	1236
ISABELLA	1236
GANNA	1231
JENNIFER	1225
ERNA	1224
SVETLANA	1218
WANESA	1213
MILANA	1212
GALINA	1208
PATRICIA	1206
KIRA	1202
HANKA	1193
MARCJANNA	1192
DŻESIKA	1177
MAJKA	1170
LIUDMILA	1162
BOHDANA	1152
MARITA	1141
JANA	1131
WIRGINIA	1126
LUBA	1125
SIMONA	1107
ZORIANA	1094
HANNAH	1089
SNIZHANA	1084
ANIKA	1083
MIRA	1080
BALBINA	1075
DAJANA	1059
NELIA	1057
SABRINA	1052
INA	1047
VLADYSLAVA	1046
VALENTINA	1040
GABRIELLA	1032
EMANUELA	1030
ALIAKSANDRA	1030
KUNEGUNDA	1021
CARMEN	1006
CAROLINE	1001
SEWERYNA	981
BERENIKA	980
FILOMENA	964
YAROSLAVA	962
NIKOLETTA	954
ANZHELIKA	953
ELIZABETH	946
ALICE	946
NAOMI	942
LILY	940
RAMONA	938
YEVA	935
KORNELA	930
DALIA	929
EKATERINA	918
ALICIA	917
NELLY	916
IWONNA	903
ŻAKLINA	899
BLANDYNA	896
BENEDYKTA	886
BOGDANA	885
NADIYA	875
LUBOMIRA	870
ZLATA	868
BIANCA	866
IRMA	864
INKA	857
LIGIA	856
AMALIA	855
ELLA	853
MICHAELA	849
EMILA	848
IDALIA	845
LEONTYNA	841
INGRID	839
LYUDMYLA	838
LILLY	829
ARINA	828
ZOIA	828
GABRYELA	823
SWIETŁANA	821
KAYA	821
JÓZEFINA	820
SYBILLA	819
LINA	818
HANA	808
MARGARITA	807
VIOLETA	807
ARIANA	805
INGEBORGA	797
SOLOMIIA	777
VERANIKA	776
CELESTYNA	775
ABIGAIL	769
CAROLINA	768
GRACJANA	766
ROXANA	762
MARIE	762
LYUBOV	761
VASYLYNA	755
SŁAWA	735
DOMICELA	731
MONICA	726
CRISTINA	724
ŻANETTA	720
VERA	719
BERNARDETA	716
YANINA	714
TEKLA	713
VARVARA	711
LEONIA	711
KSENIYA	708
MARGARETA	707
MAIA	703
DOBRAWA	699
ZOE	690
BENITA	688
VALERYIA	687
ELA	682
DINA	677
MELISA	677
BERTA	660
JESIKA	655
KASANDRA	653
MELISSA	648
AKSANA	645
EVELINA	639
VIKTORIYA	638
ORIANA	635
KARIN	635
CLARA	632
MAIIA	630
EUNIKA	628
PALINA	628
DOBROCHNA	627
ALESIA	627
DANA	623
DAGNA	621
JESSIKA	621
LISA	618
FATIMA	615
ADELINA	613
TAISIIA	605
GIULIA	602
SOFIYA	602
LARISA	602
NATHALIE	601
SILVIA	598
JASMINA	595
LIZAVETA	595
SELENA	586
KRYSTSINA	582
JASMIN	580
ELISABETH	578
AURORA	577
LILIYA	575
LEILA	574
ELISA	570
AUGUSTYNA	563
LESŁAWA	561
NELLA	556
MARIAM	554
MARIETA	549
SYLVIA	548
JULITTA	548
NIKOLINA	547
ROKSOLANA	545
NADZEYA	539
SAMANTHA	539
AMINA	537
NIKA	532
ELINA	530
WILHELMINA	530
MELANIE	529
CATHERINE	521
NATASHA	516
SYLWESTRA	514
LAILA	514
CHARLOTTE	514
NELL	513
ALIONA	510
LILI	507
LETYCJA	506
VIVIEN	505
ROZWITA	504
VITALINA	503
ERNESTYNA	502
ELVIRA	502
EUFEMIA	498
LIANA	493
MIRANDA	492
NIKOLETA	489
MIŁOSŁAWA	488
KATHERINE	487
LUCIA	487
RADOSŁAWA	486
PETRONELA	483
LIA	482
SUSANNA	479
TAMAR	478
KATHARINA	472
LUDOMIRA	471
IZOLDA	471
NOA	466
KAREN	464
DOBROMIŁA	462
EMA	457
NASTASSIA	457
TAMILA	455
YAEL	453
AGNES	450
DZIYANA	446
MARGOT	446
LAYLA	445
INGRIDA	441
ELZA	438
HALSZKA	435
JULIANA	435
ANGELICA	430
TAISA	429
VALIANTSINA	425
JACQUELINE	424
VITALIIA	424
VALERIA	423
FRYDERYKA	422
CHIARA	420
ALMA	420
ZENAIDA	419
NINO	417
LIZA	417
ARIADNA	417
JASMINE	416
ISMENA	416
ANIDA	415
CHRISTINE	413
BENIGNA	412
RUTH	412
EMILIIA	410
CYRYLA	409
ANDŻELINA	403
MARTHA	403
NARCYZA	402
KSYMENA	401
JELENA	400
ULYANA	398
CHRISTINA	393
IANA	393
BETINA	392
MARGARET	392
GAIA	390
JESICA	389
ZOYA	386
MATILDA	386
DELFINA	385
LUNA	384
ISABELLE	383
TINA	383
AMY	382
ANDRIANA	380
SAMIRA	380
WALTRAUDA	378
DEBORA	378
IWETTA	375
SCHOLASTYKA	374
OXANA	372
MICHAL	371
HIACYNTA	370
LUKRECJA	370
STEPHANIE	368
MARIJA	367
YARYNA	367
GRACJA	365
YULIA	363
IWETA	362
CHLOE	362
ISABEL	362
RYTA	360
FRANCESCA	360
PAOLA	360
YAUHENIYA	359
AIDA	359
YELIZAVETA	357
ANICETA	357
BIBIANNA	354
HERMINA	352
NADINE	351
NICOLETTA	351
LESYA	351
ANNE	347
AMELIE	346
THI	345
IRENE	341
LUCY	339
RACHEL	338
JULIE	338
ARIANNA	338
MARY	335
LUBOW	332
ADAMINA	330
KESJA	329
NELLI	326
OTOLIA	326
ŻANNA	326
ELIZAVETA	324
SZARLOTA	322
ILZA	321
NATALYA	320
ANDRZELIKA	319
SOFIJA	319
MODESTA	319
ANIA	318
ROZA	315
LUDWINA	315
EMILIE	314
LUISA	314
YASMIN	313
LUDMILA	311
SHARON	308
CARLA	307
AŁŁA	306
LEYLA	305
VLADA	303
WINCENTYNA	303
HIERONIMA	300
INESA	300
LARISSA	300
ELIANA	298
RACHELA	297
JOHANNA	295
WERA	294
CAMILLA	293
ELENI	292
MEGAN	292
ADI	292
LUCJANNA	291
VIVIENNE	290
NASTIA	289
YULIANA	289
PRAKSEDA	289
MADINA	289
WIELISŁAWA	289
SERAFINA	288
ORYSIA	287
INGRYDA	287
SUSANNE	284
NASTAZJA	282
SONJA	282
ALESSANDRA	280
LORENA	279
MIKA	279
KATIA	277
AMIRA	276
CORNELIA	276
AISHA	275
ANJA	274
ARLENA	273
MALIKA	273
LEONORA	272
HELEN	272
HERONIMA	272
PETRA	271
KAROLA	270
ARYNA	270
DORIS	270
SWITŁANA	267
LEONA	267
INHA	267
ASTRID	266
ALESSIA	265
AURELA	264
KARMEN	264
IRMGARD	263
LAURENCJA	262
CAMILA	262
URSULA	262
ECATERINA	261
MIRONA	259
ESTHER	259
JOLENTA	258
ROSE	257
LILLI	257
LIDIYA	257
ROSA	256
REBECCA	254
GRACE	251
SUSAN	251
KSAWERA	251
ERWINA	251
KATARINA	250
LEAH	248
LYDIA	247
CYNTHIA	245
HILDA	244
ANAT	243
KATRIN	242
FABIOLA	242
FATMA	242
MARYAM	241
WŁODZIMIERA	240
CHANTAL	238
SOFIE	238
SYNTIA	238
ELMIRA	236
TAL	235
ZOSIA	235
YVONNE	231
DOLORES	230
PAULINE	230
TADEUSZA	230
ALOJZA	229
TEREZA	229
KRYSTIANA	228
MARYANA	226
RENA	226
GABRIELLE	222
AGATHA	221
ZARA	221
NADJA	221
MARGARYTA	221
HERTA	220
KIARA	220
DIONIZA	219
GUSTAWA	219
AUGUSTA	218
BOGDA	218
SHIRA	217
RONI	216
IZYDORA	216
NADEJDA	215
BLANCA	214
ELIF	214
NOELIA	214
REBEKA	213
ROBERTA	213
IEVGENIIA	210
ZBIGNIEWA	210
KAMELIA	210
VIVIANA	210
PATRIZIA	210
DEBORAH	210
MARINE	210
SUZANNE	209
NADEZHDA	209
WALBURGA	209
NATALIJA	208
JAGIENKA	208
ZEYNEP	208
SUSANA	208
VIRGINIA	207
KARLA	207
RUT	206
SALMA	206
MERVE	204
IULIA	204
KARINE	204
STANISLAVA	203
NATIA	203
THỊ	203
WINCENTA	203
DANIELLE	203
EMILIYA	203
MILLA	202
VIVIAN	200
FELICYTA	200
FLORA	200
DENISE	200
KATERINA	200
AYA	200
NANA	200
STELA	199
STEFANIIA	199
INESSA	199
ILIANA	198
ADOLFA	198
NADIJA	198
WALESKA	198
MARGOTA	197
EDITH	197
LIUBOU	197
SIMONE	196
KORYNA	196
SUZANNA	195
TATYANA	194
NELI	194
RAFAELA	192
NADIEŻDA	191
LUBOMIŁA	190
ADOLFINA	190
IRIS	189
VALERIYA	189
EVELYN	189
BEATRIZ	188
MALVINA	188
SCARLETT	188
KASJANA	187
ROMINA	186
BELLA	185
VITTORIA	185
JENNY	184
KRYSPINA	183
NORA	183
KAMILIA	183
DĄBRÓWKA	183
LUCJANA	183
TATJANA	182
FRYDA	182
ESTER	182
JULIETTE	182
ANNETTE	181
ZUZANA	181
ANNA-MARIA	181
IVANA	181
LANA	179
OLESYA	179
CHANEL	178
VANESA	178
INEZA	178
CECILIA	177
LUDGARDA	176
BETTINA	175
IMAN	175
HANIA	175
DORA	174
KATE	172
LEONIDA	172
NEONILA	172
KATHRIN	171
MARGARETE	171
PALOMA	171
DARINA	171
CLAIRE	171
JOSEPHINE	171
DAMIANA	171
LUCIE	170
ANNIKA	170
LOUISE	170
AVA	169
MARÍA	169
JULIETA	169
KATRINA	168
RAQUEL	167
KAYLA	166
LOLITA	166
RYMMA	165
KRISTINE	165
JULIETTA	165
ZEFIRYNA	165
AMBER	164
EUFROZYNA	164
YASMINE	164
BIRUTA	163
KELLY	163
DAIANA	161
HENRIETA	161
KHATUNA	161
YUVAL	161
HEIDI	160
WISŁAWA	159
LILIAN	159
KIM	159
DENISA	158
WALTRAUD	158
LUDOMIŁA	158
WALTRAUT	158
NILA	157
ELIGIA	157
JOLA	157
KEREN	157
INGEBORG	156
SATURNINA	156
ALEVTYNA	155
KASIA	154
ANATOLA	154
SABINE	154
KHAVA	154
LOLA	154
WIEŃCZYSŁAWA	153
NICOLL	152
EDELTRAUD	152
EDMUNDA	152
ILANA	151
FRIDA	151
AFRODYTA	151
ANI	151
LENKA	151
MIHAELA	151
MERCEDES	150
JUDITH	150
SALOME	150
EDWINA	150
CINDY	150
ZINA	149
CYNTIA	149
IWONKA	149
YASMINA	149
DOMINIQUE	148
KATJA	148
ŻAKLIN	146
LÉA	146
VIYALETA	146
HANNELORE	146
VIORICA	145
SYLWINA	145
MARION	145
TEA	145
KATIE	145
SOFYA	144
NANCY	144
LETICIA	144
LIUBA	144
ALBERTYNA	144
ZARINA	143
ANATOLIA	143
ANDŻELA	143
JUSTINE	143
EVGENIIA	143
ANN	142
ZYGFRYDA	142
WIWIANA	142
LIDA	142
BEATRICE	142
BOZHENA	141
ASHLEY	141
STEFANIE	141
LAUREN	141
TEONA	141
GEORGINA	140
HILA	139
SYLWANA	138
ANŻELIKA	137
MARGERITA	137
SEDA	136
HILDEGARD	136
JUTA	135
DANIELLA	134
ZUZA	134
KARALINA	134
NOGA	134
ESRA	134
OLESEA	134
ELLEN	134
KORA	134
EDITA	133
CARINA	133
KAMA	133
XENIA	133
FLORIANNA	133
MARISA	132
LORETTA	132
KOLETA	132
CAMILLE	132
GABRIELE	132
LILLIAN	132
KAIA	132
ANNABELLE	132
REHINA	132
AMIT	131
VASILISA	131
FIONA	131
MAURA	131
LIUBOMYRA	130
AYLIN	130
KORDULA	130
LIAT	130
MOLLY	129
BRIGITTE	129
NARINE	129
ASIA	129
FERNANDA	129
MALENA	128
ALEXIA	127
NONA	127
TANIA	126
MADELEINE	126
BERNADYNA	126
GISELA	126
LUSINE	126
RODICA	126
GAYANE	125
ANAHIT	125
ANZHALIKA	125
AYŞE	125
ANNAMARIA	125
BEATRYCZE	125
DOROTHEA	125
FABIANA	125
NIKITA	125
ALIA	124
PIA	124
STEPANIIA	124
ANASTASIJA	124
ŁARYSA	124
YELENA	123
HILARIA	123
VANDA	123
KETEVAN	123
ARETA	123
LEONIE	123
ARIA	122
ROSEMARIE	122
GAL	122
SYBILA	122
EDELTRAUT	122
JULIJA	121
SUZANA	121
MATHILDE	121
TIFFANY	120
XYMENA	120
FLORENCIA	120
ISABELL	120
KIMBERLY	120
LADA	119
JUTTA	119
ROSANNA	119
MONA	119
AYLA	119
FLAVIA	119
ORYNA	119
DAMARIS	119
OFELIA	119
BEATE	119
ELSA	118
VIOLA	118
KHEDA	117
LILIT	117
NETA	117
HELENE	117
JANET	117
MIROSLAVA	116
EVGENIYA	116
MIJA	116
EMILIANA	116
ANNEMARIE	115
BRENDA	115
CASSANDRA	115
MICAELA	115
SHIR	115
TARA	114
ROTEM	114
RENATE	114
FILIPINA	114
MARYSIA	113
SHANI	113
IWA	113
KORINA	113
EKATERINE	113
ITA	112
NONNA	112
DOROTHY	112
CATERINA	111
LELA	111
FARIDA	111
MARIANNE	111
FEDERICA	110
ZORYANA	110
YASEMIN	110
OŁENA	110
NAIRA	110
SASKIA	110
BERNARDETTA	110
MELODY	109
TELIMENA	109
DALILA	109
ALEJANDRA	109
JEANETTE	109
SELIN	109
RIMA	109
MARIAMI	108
MERYEM	108
CELINE	107
VLADLENA	107
DAISY	107
MINA	107
LUCIANA	107
ANTANINA	107
TOMIRA	107
DOINA	107
ANYA	107
SELMA	106
DARIYA	106
WILMA	106
ALIYA	106
PRZEMYSŁAWA	106
LIJA	106
MANANA	105
MAAYAN	105
ARKADIA	105
DILARA	105
ERICA	105
NATALI	105
FLORENCE	105
ZYGRYDA	104
