

---------------------------------------------------------------
2022-06-24 01:31:31.259203:  (20220624_tw) Experiment start!
2022-06-24 01:31:31.491513:  (20220624_tw) start recording
2022-06-24 06:06:30.124901:  (20220624_tw) Lost connection
2022-06-24 06:06:40.141297:  (20220624_tw) Lost connection
2022-06-24 06:06:50.160736:  (20220624_tw) Lost connection
2022-06-24 06:07:00.190562:  (20220624_tw) Lost connection
2022-06-24 06:07:10.217429:  (20220624_tw) Lost connection
2022-06-24 06:07:20.228638:  (20220624_tw) Lost connection
2022-06-24 06:07:26.298802:  (20220624_tw) start recording
2022-06-24 06:07:54.510081:  (20220624_tw) start recording
