values	weights
1 year	658887
2 years	669486
3 years	685476
4 years	668896
5 years	670811
6 years	703690
7 years	706619
8 years	712023
9 years	732687
10 years	757320
11 years	777219
12 years	784584
13 years	804952
14 years	816491
15 years	779013
16 years	768289
17 years	781759
18 years	827713
19 years	857106
20 years	941752
21 years	963077
22 years	976795
23 years	987668
24 years	966347
25 years	954021
26 years	958291
27 years	965443
28 years	994198
29 years	1000580
30 years	991394
31 years	966253
32 years	936337
33 years	939790
34 years	918137
35 years	895725
36 years	901531
37 years	912217
38 years	954435
39 years	1078985
40 years	1141652
41 years	1205105
42 years	1290214
43 years	1346088
44 years	1368130
45 years	1395284
46 years	1416669
47 years	1430141
48 years	1396458
49 years	1361127
50 years	1326838
51 years	1293551
52 years	1234025
53 years	1197904
54 years	1153976
55 years	1132327
56 years	1106678
57 years	1069104
58 years	1057734
59 years	1053607
60 years	1026769
61 years	1022100
62 years	952221
63 years	865631
64 years	836094
65 years	605927
66 years	799516
67 years	902796
68 years	861109
69 years	1004003
70 years	990423
71 years	1097279
72 years	997178
73 years	914873
74 years	861486
75 years	811493
76 years	772418
77 years	604799
78 years	544174
79 years	537399
80 years	536353
81 years	511847
82 years	475503
83 years	424552
84 years	379828
85 years	346065
86 years	302287
87 years	254206
88 years	228373
89 years	204145
90 years	169319
91 years	133114
92 years	54758
93 years	39671
94 years	33738
95 years	28246
96 years	31393
97 years	22158
98 years	14750
99 years	9497
