values	weights
 	9436561
JAN	653631
PIOTR	607339
STANISŁAW	469513
ANDRZEJ	417428
PAWEŁ	402916
JÓZEF	401767
KRZYSZTOF	329758
ADAM	282679
TOMASZ	252917
MAREK	250961
MICHAŁ	234778
JERZY	203445
GRZEGORZ	197465
WOJCIECH	192448
MARCIN	188766
KAZIMIERZ	179804
TADEUSZ	171455
ŁUKASZ	171157
MARIAN	159019
ANTONI	157750
FRANCISZEK	152426
ZBIGNIEW	137785
JAKUB	133661
ROBERT	129349
RYSZARD	128446
JACEK	126648
HENRYK	123418
MATEUSZ	117527
JANUSZ	111874
MACIEJ	109223
WŁADYSŁAW	108068
KAROL	105328
MARIUSZ	98630
RAFAŁ	96141
ROMAN	90708
DARIUSZ	89632
ALEKSANDER	85872
SEBASTIAN	83506
STEFAN	75555
EDWARD	71822
MIROSŁAW	69786
ARTUR	69115
KAMIL	67829
MIECZYSŁAW	66877
DAWID	62417
SŁAWOMIR	61734
WIESŁAW	60913
DANIEL	60643
SZYMON	60463
MIKOŁAJ	59024
JAROSŁAW	58448
DOMINIK	56531
CZESŁAW	54765
LESZEK	54397
ZDZISŁAW	54036
BOGDAN	52412
PATRYK	51527
DAMIAN	51157
WALDEMAR	49077
ZYGMUNT	48987
WIKTOR	46605
PRZEMYSŁAW	45112
SYLWESTER	43438
KONRAD	42926
EUGENIUSZ	42063
ARKADIUSZ	38810
KACPER	38257
BOGUSŁAW	36278
BARTŁOMIEJ	34544
KRYSTIAN	32224
ADRIAN	31872
FILIP	31482
WŁODZIMIERZ	30264
WITOLD	30104
BRONISŁAW	29899
MAKSYMILIAN	29630
SZCZEPAN	29564
IRENEUSZ	28397
BARTOSZ	27598
WACŁAW	27287
BOLESŁAW	26749
LEON	25276
ZENON	25182
HUBERT	23248
IGNACY	22713
JULIAN	22577
RADOSŁAW	21951
LUDWIK	20737
GABRIEL	20035
BERNARD	19503
CEZARY	17565
FELIKS	17247
NORBERT	15655
EDMUND	15511
LECH	14397
LUCJAN	14064
ALOJZY	12866
WINCENTY	12623
OSKAR	12579
EMIL	12176
BŁAŻEJ	11332
BOGUMIŁ	10746
WALENTY	10361
SEWERYN	10071
IGOR	9908
MARIA	9857
MIŁOSZ	9076
TEODOR	8596
ROMUALD	8442
BENEDYKT	8303
GERARD	8017
JOACHIM	7996
ERYK	7952
ALFRED	7837
ALBERT	7351
AUGUSTYN	7205
