values	weights
ISMENA	106
MAE	106
AMY	105
DORA	105
ELLEN	105
IWONKA	105
REBECCA	105
MELANIE	104
ATENA	103
KLOTYLDA	103
RAQUEL	103
GERARDA	102
PAULINE	102
VIRGINIA	102
LINH	101
SILVIA	101
SIMONE	101
YVONNE	101
LILI	100
LUBA	100
MARIA MAGDALENA	100
MELISSA	100
SUSAN	100
ŻAKLIN	100
JULIE	99
LEOPOLDA	99
PETRA	99
AMBER	98
ADOLFINA	97
EUFROZYNA	96
JASMINE	96
JESSIKA	96
OLENA	96
ADELINA	95
KAMILIA	95
LORENA	95
CHANTAL	94
ELENI	94
ILZA	94
RAISA	94
RENEE	94
WISŁAWA	94
CHIARA	93
CHLOE	93
LAILA	92
NASTAZJA	92
TINA	92
EUZEBIA	91
IRIS	91
IRMGARD	91
LEILA	91
SUSANA	91
ANIA	89
LUDOMIŁA	89
SUZANNE	89
BETINA	88
BRIGITTE	88
CARLA	88
FRIDA	88
GABRIELLE	88
BERNADETTE	87
CORNELIA	87
FLORIANNA	87
MAKSYMILIANA	87
MARIIA	87
FRIEDA	86
FRYDA	86
MAI	86
IWETA	85
NELL	85
PALOMA	85
VIVIEN	85
ASHLEY	84
ELISE	84
HILDEGARD	84
INA	84
EMILIE	83
FERNANDA	83
IWA	83
LUISE	83
SYLWINA	83
KAMA	82
MARGOTA	82
MARION	82
SAMIRA	82
YAEL	82
ADOLFA	81
DANIELLE	81
MIRONA	81
NELLA	81
DOROTHY	80
KATARINA	80
KATHLEEN	80
KATRIN	80
TADEUSZA	80
WALTRAUDA	80
DINA	79
EVELYN	79
MARIAM	79
MAURA	79
NIKOLETA	79
RENA	79
SYLWANA	79
KLARYSA	78
NADINE	78
SUSANNE	78
CHELSEA	77
VALERIA	77
DOROTHEA	76
JEANNE	76
KASIA	76
LUDGARDA	76
MEGAN	76
ZYGFRYDA	76
ARLENA	74
HENRIETA	74
LORETTA	74
NATASHA	74
SOL	74
TELIMENA	74
WIEŃCZYSŁAWA	74
GEORGINA	73
GERTRUD	73
KIM	73
LUBOMIŁA	73
STEFANIE	73
ZOSIA	73
BERNADYNA	72
HORTENSJA	72
LAN	72
MARIANNE	72
VIVIANA	72
GRACIELA	71
BERNARDETTA	70
CYNTIA	70
HERONIMA	70
HIACENTA	70
INEZA	70
MARYNA	70
ALBERTA	69
AVA	69
BEATRICE	69
FLORIANA	69
FRANZISKA	69
VANESA	69
BIRUTA	68
GRAZYNA	68
JULIETTA	68
RENATE	68
BEATE	67
SCARLETT	67
ELIANA	66
FIONA	66
KESJA	66
MADELEINE	66
MARGERITA	66
ANDŻELA	65
DIANE	65
LAYLA	65
LOUISA	65
BRIGIDA	64
CAMILLE	64
HOPE	64
JADE	64
JUTTA	64
KIARA	64
LEAH	64
MAŁGORZTA	64
MARIANA	64
DAMARIS	63
KAMELIA	63
LINA	63
LYDIA	63
WALTRAUD	63
DOMINIQUE	62
FORTUNATA	62
NAWOJKA	62
RAE	62
RAJMUNDA	62
XYMENA	62
AMIRA	61
ARIANNA	61
CAMILLA	61
ELIF	61
JUTA	61
NIKOLINA	61
NORA	61
FLORENCE	60
ISABELL	60
JOANNE	60
KOLETA	60
MARÍA	60
ROZANNA	60
STANISLAWA	60
WITA	60
ELIGIA	59
INGRYDA	59
KATIA	59
KAYA	59
ROMINA	59
VITTORIA	59
AISHA	58
FLAWIA	58
HENRIETTA	58
JANET	58
OFELIA	58
ROZA	58
VIVIENNE	58
WITOLDA	58
AMINA	57
ANJA	57
JOAN	57
JULIETTE	57
KATHRIN	57
LEIGH	57
SUSANNA	57
SZCZĘSNA	57
TOMIRA	57
ZYGMUNTA	57
ALESSANDRA	56
CHIOMA	56
IRINA	56
LOTTA	56
MAIA	56
MONIQUE	56
BLANCA	55
EDWINA	55
IZAURA	55
JAGIENKA	55
KASJANA	55
KORA	55
MAGDALENE	55
MOHAMED	55
ALI	54
BELEN	54
DAGNY	54
ESMERALDA	54
GIULIA	54
KWIRYNA	54
LEOPOLDYNA	54
MARYSIA	54
SOLEDAD	54
AMELIE	53
DEVI	53
INÉS	53
MARIJA	53
MATILDA	53
SAWA	53
ŻANNA	53
ANGEL	52
ANNETTE	52
DAWN	52
DEBORAH	52
EURYDYKA	52
GISELA	52
LAUREN	52
TRANG	52
ZARA	52
ELAINE	51
FABIANA	51
HANNELORE	51
JADWIGA KAZIMIERA	51
LIA	51
SOFIJA	51
WITOSŁAWA	51
ZEFIRYNA	51
ANATOLIA	50
ANNAMARIA	50
BIBIANA	50
FLORENCIA	50
GEORGIA	50
INGEBORG	50
LUCIE	50
NIKITA	50
YASMIN	50
AGATHA	49
BOZENA	49
CIRILLA	49
CYNTHIA	49
DAISY	49
DOBROMIRA	49
GABRIELE	49
JEANETTE	49
JOSEFINA	49
MICHELE	49
PATRIZIA	49
VIVIAN	49
WIOLA	49
BETTINA	48
ELIZABET	48
ERICA	48
HERMENEGILDA	48
KARLA	48
ROSALIA	48
SABA	48
SYNTIA	48
ANTOINETTE	47
ELFRIEDE	47
EMILIANA	47
ITA	47
KATRINA	47
LILLI	47
SABINE	47
VALERIE	47
VERA	47
CHARLOTTA	46
ELFRIEDA	46
ELSA	46
JENNY	46
LOLA	46
MARIA ANTONINA	46
NICOLETTA	46
NIKA	46
ŻYWIA	46
AISZA	45
ANDRZEJA	45
ARETA	45
AUDREY	45
DANA	45
EILEEN	45
FERDYNANDA	45
MILADA	45
RIVKA	45
SONJA	45
AHMED	44
ALEKSA	44
BELÉN	44
CHRISTA	44
GEORGIEVA	44
INDIA	44
KAY	44
MATHILDE	44
ROSANNA	44
ALODIA	43
ARIA	43
DYONIZA	43
ELEKTRA	43
FELICIA	43
GAIA	43
JUSTINE	43
MARGUERITE	43
SWIETŁANA	43
TAIDA	43
TONIA	43
WALTRAUT	43
ADELE	42
CONSTANCE	42
DOMINICA	42
IGNACJA	42
ISABELA	42
JANINE	42
LÉA	42
LEONIE	42
NOELIA	42
SYBILA	42
SZARLOTTA	42
TARA	42
THERESIA	42
ANNEMARIE	41
ANZELMA	41
BRUNHILDA	41
CELINE	41
CEZARIA	41
COLETTE	41
GABRYJELA	41
GIZELLA	41
IVANOVA	41
JOYCE	41
KELLY	41
KUMARI	41
MARI	41
NGOC	41
ALENA	40
FATMA	40
GISELLE	40
HILARIA	40
HOA	40
JANINA KAZIMIERA	40
LEYLA	40
MILANA	40
SASKIA	40
ALANA	39
ALISON	39
ANNA-MARIA	39
CATALINA	39
CLARE	39
FREDA	39
KATHRYN	39
LETICIA	39
MABEL	39
MALIKA	39
MARGARETHE	39
MARIA ANNA	39
MIKA	39
NASTIA	39
PHUONG	39
THUY	39
VERONIQUE	39
ANNABELLE	38
ERIN	38
FAITH	38
FILIPA	38
HANIA	38
INGE	38
KARYNA	38
KORALIA	38
MIHAELA	38
SAMUELA	38
SHARON	38
WALERIANA	38
ANNIE	37
BETH	37
BOŻYSŁAWA	37
ELIDA	37
MARIA KRYSTYNA	37
ROSITA	37
XENIA	37
ZAHRA	37
AGATHE	36
ANATOLA	36
ANNIKA	36
ANŻELIKA	36
CAMILA	36
CHANEL	36
ELISABET	36
FRANCISCA	36
GIOVANNA	36
IVY	36
JAYNE	36
LAWINIA	36
NOELLE	36
ROSEMARIE	36
SALMA	36
ADELAIDA	35
ALEXIS	35
ANDREEA	35
ANNELIESE	35
BASIA	35
CAROL	35
CHRISTEL	35
CHRISTIANA	35
CHRISTIANE	35
GENEVIEVE	35
HUONG	35
JENIFER	35
JOZEFA	35
MARISA	35
MARIYA	35
MOLLY	35
NANCY	35
NGOZI	35
SOLANGE	35
TIFFANY	35
WIELISŁAWA	35
YVETTE	35
ALISA	34
DAMROKA	34
ELLI	34
EVELINA	34
GINA	34
HEIDI	34
IOANA	34
JOSE	34
KRISTIN	34
KRISTINE	34
LARISA	34
LEONOR	34
LIDA	34
MARGITA	34
MARIA ZOFIA	34
MILAGROS	34
NORBERTA	34
ODETTA	34
WALDEMARA	34
WENESA	34
ZBYSŁAWA	34
AOIFE	33
BOŻENA KAZIMIERA	33
CHLOÉ	33
ERNESTA	33
HEE	33
KAROLINE	33
KATERINA	33
LARISSA	33
MARIA ELŻBIETA	33
MARTIKA	33
MELODY	33
SELMA	33
AGRYPINA	32
AN	32
BRENDA	32
CARINA	32
DANIELLA	32
EDITA	32
ELEANOR	32
GRAZIA	32
HANG	32
KORYNA	32
MALKA	32
MARGIT	32
MÁRIA	32
MARLENE	32
MARTINE	32
MOHAMMED	32
NIAMH	32
ROSALIE	32
RUFINA	32
VIOLA	32
ZELMA	32
ALIA	31
ATINA	31
CATHARINA	31
DAGMAR	31
EDELTRAUT	31
ESTELLE	31
FARIDA	31
ILIANA	31
JULIET	31
JUNE	31
KIMBERLY	31
LIANA	31
LORETA	31
MARCELLA	31
MARIEL	31
MAUREEN	31
MERYEM	31
SINEAD	31
SOFÍA	31
SUE	31
THEA	31
YOUNG	31
ALWINA	30
ASTRYDA	30
BOGUCHWAŁA	30
DENISA	30
DENIZ	30
DOBIESŁAWA	30
HAYA	30
KATIE	30
LYNNE	30
MARIA BARBARA	30
MARIA JADWIGA	30
MELITA	30
MILENIA	30
REBECA	30
SILVANA	30
SORAYA	30
TACJANA	30
WICTORIA	30
CATERINA	29
DALILA	29
EWA MARIA	29
GEMMA	29
ILSE	29
IMELDA	29
MACIEJA	29
MY	29
NELLI	29
ROSIE	29
RUBY	29
SUMMER	29
SUZANNA	29
SYLVIE	29
ŚNIEŻKA	29
ANABEL	28
BERNADA	28
BOHDANA	28
DIMITROVA	28
ELVIRA	28
ESTELA	28
ESTELLA	28
GALINA	28
GUDRUN	28
HÉLÈNE	28
JANETA	28
MARGARETTA	28
MERVE	28
NICOLL	28
PALMIRA	28
STENIA	28
SYDONIA	28
WIWIANA	28
ALEXA	27
AMARACHI	27
APARECIDA	27
CATALEYA	27
ELISABETTA	27
ELODIE	27
EMMANUELLE	27
KAYLA	27
KONSUELA	27
LECHOSŁAWA	27
LORRAINE	27
LOTA	27
LUANA	27
MARIA HELENA	27
MINA	27
NHI	27
NIKE	27
OCTAVIA	27
SANCJA	27
SELIN	27
STANISŁAWA KAZIMIERA	27
THI	27
THU	27
VERÓNICA	27
WILMA	27
AMÉLIE	26
ANABELLA	26
BERNATA	26
BONAWENTURA	26
CARMELA	26
CASSANDRA	26
DEL CARMEN	26
EDELTRAUD	26
ELSE	26
GRACJANNA	26
HRISTOVA	26
HUYEN	26
IFEOMA	26
JOANA	26
JOLITA	26
KATHY	26
KATRZYNA	26
LILIAN	26
MARIA JOLANTA	26
MI	26
NIKODEMA	26
RANI	26
SALWINA	26
SHEILA	26
SUZAN	26
ZEYNEP	26
ADRIA	25
ALEXIA	25
AYLIN	25
BONIFACJA	25
CELIA	25
CIARA	25
DITTA	25
GRYZELDA	25
ISLA	25
JANETTE	25
JOLANTYNA	25
JOSEFINE	25
LEIA	25
LEJLA	25
MARIA STANISŁAWA	25
MARTYNIKA	25
MINH	25
MIRTA	25
MÓNICA	25
MYRIAM	25
NELI	25
PARIS	25
PILAR	25
PLACYDA	25
RADZISŁAWA	25
TERESA MARIA	25
UTA	25
ALESSIA	24
ANASTAZIA	24
ANGIELIKA	24
ANNABEL	24
ATHINA	24
BALWINA	24
BENONA	24
BRONISLAWA	24
CATARINA	24
HENRIETTE	24
JANETTA	24
JANKA	24
JARMILA	24
JULIETA	24
KERSTIN	24
LIV	24
LOU	24
LUDOSŁAWA	24
LUZIE	24
MADISON	24
MARA	24
MARGARETHA	24
MARGHERITA	24
MARIA JANINA	24
MARYAM	24
MEI	24
MILLA	24
NGA	24
OLYMPIA	24
SCARLET	24
SIOBHAN	24
TAISA	24
TANIA	24
TOSIA	24
VÉRONIQUE	24
VESNA	24
WIESLAWA	24
WOJCIECHA	24
AGUSTINA	23
AICHA	23
ANAIS	23
ANTONELLA	23
ASENOVA	23
BRIGITTA	23
CELESTE	23
ELIDIA	23
FABIENNE	23
FREYA	23
IMAN	23
JACENTA	23
JAQUELINE	23
JURATA	23
JUSTINA	23
KARMELA	23
KATHARINE	23
KYUNG	23
LYN	23
MADELINE	23
MICHELA	23
PARTYCJA	23
PEARL	23
ROCIO	23
ROSANA	23
SALOMEJA	23
SANTANA	23
TOVA	23
WIKTORYNA	23
YASMINE	23
ADEL	22
ARNIKA	22
ATANASOVA	22
BARNABA	22
BELLE	22
CECILE	22
CHIAMAKA	22
CHRISTIN	22
ECE	22
ELINA	22
HIEN	22
IZYDA	22
JOSEFA	22
KARIMA	22
KORINA	22
KRYSTA	22
LILIANE	22
LILLIAN	22
LUCIANA	22
MARGARIDA	22
MICAELA	22
NHUNG	22
NICOLETA	22
OLUCHI	22
RADOCHNA	22
ROSWITA	22
SELINA	22
SERENA	22
SIGRID	22
THANH	22
THAO	22
VIOLET	22
ZOHRA	22
AIMEE	21
ALEX	21
ALINE	21
ANDA	21
ANDRZELINA	21
ANNEMARIA	21
APRIL	21
BETTY	21
BJÖRK	21
CAROLA	21
CEZARA	21
CEZARYNA	21
CHISOM	21
CINDY	21
CORINA	21
DAIANA	21
DONNA	21
FELICJANA	21
GAIL	21
GOSIA	21
HAZEL	21
HEATHER	21
ILLONA	21
IVONNE	21
JOZEFINA	21
JUANA	21
KATALIN	21
KRYSTINA	21
LILJA	21
LOTTE	21
MIKAELA	21
MINNA	21
MONA	21
NOA	21
NOEL	21
PENELOPA	21
PERLA	21
PETRONELLA	21
PNINA	21
RADOMIŁA	21
RENÉE	21
SELWINA	21
SKY	21
SOFI	21
TAMAR	21
VAN	21
VIKTORIIA	21
WENDY	21
WIWIANNA	21
YASEMIN	21
ZENIA	21
ZINA	21
ALBA	20
AYLA	20
BARBARA MARIA	20
CAROLIN	20
CHIDINMA	20
CHINYERE	20
DELIA	20
ELŻBIETA MARIA	20
FAYE	20
FLORENCJA	20
FRANÇOISE	20
GUADALUPE	20
GÜL	20
HOLLY	20
ISAURA	20
JIN	20
JO	20
KATERYNA	20
KLEMENSA	20
LAKSHMI	20
LAURE	20
LINNEA	20
LUDMILA	20
LUZIA	20
ŁADYSŁAWA	20
MARIA JÓZEFA	20
MARŻOLENA	20
NOTBURGA	20
RIWANA	20
SHIRLEY	20
VY	20
ADELHEID	19
ALIDA	19
ANGELIQUE	19
ANGELOVA	19
ANNALIZA	19
ANNE-MARIE	19
ANYA	19
AYA	19
BARABRA	19
BELINDA	19
BONA	19
CAROLYN	19
CHAYA	19
CLEMENTINE	19
FRANCOISE	19
GLADYS	19
HANH	19
HELIODORA	19
JULIANE	19
KARIONA	19
KATALEJA	19
KATJA	19
LAMIA	19
LEONIDA	19
MADDALENA	19
MAREE	19
MARIA EWA	19
MARIA IRENA	19
MARIA WŁADYSŁAWA	19
MATHILDA	19
META	19
MIJA	19
NADJA	19
NATALI	19
NIKOLAEVA	19
ODETA	19
PAIGE	19
PERPETUA	19
PRISCILLA	19
ROMANIA	19
SASHA	19
SYDNEY	19
TADEA	19
WLADYSLAWA	19
YOLANDA	19
ZOYA	19
ZSUZSANNA	19
AALIYAH	18
ALFONSA	18
ANETTE	18
ANNELI	18
ARMANDA	18
ATHENA	18
BEATRIX	18
BETÜL	18
CHANA	18
CHRYSTIANA	18
CHRYZANTA	18
DALIDA	18
DAROMIŁA	18
DILARA	18
DOMICELLA	18
ELFRIDA	18
ELWINA	18
EUNICE	18
EVELINE	18
FANNY	18
FEBRONIA	18
FRANCINE	18
GRACIA	18
HA	18
IVANNA	18
JEANNETTE	18
JEANNINE	18
JOSEPHINA	18
KARENA	18
LATIKA	18
LOURDES	18
LUZ	18
MAGALI	18
MAGGIE	18
MALENA	18
MARIAN	18
MICHÈLE	18
RENALDA	18
SAOIRSE	18
SEBASTIANA	18
SENA	18
SŁAWINA	18
SYLWIANA	18
TATJANA	18
THEODORA	18
VALENTINE	18
WANDA MARIA	18
ZOFIA MARIA	18
ŻELISŁAWA	18
ADAEZE	17
ALLISON	17
AMADEA	17
AMAYA	17
ANDRONA	17
ARIELA	17
ARTEMIDA	17
BALLADYNA	17
BRIDGET	17
BROOKE	17
COLLEEN	17
DAFNE	17
DAPHNE	17
DŻAMILA	17
EBRU	17
EDELGARD	17
ELMIRA	17
ESTEFANIA	17
ETHEL	17
FAUSTINA	17
FREJA	17
HONG	17
HUBERTA	17
INOCENTA	17
ISMAIL	17
JADWIGA MARIA	17
KASYLDA	17
KRYSTYNA MARIA	17
LAETITIA	17
LIEN	17
LUCYLLA	17
LUTOSŁAWA	17
MAŁGORZATA MARIA	17
MARIONA	17
MATILDE	17
MAXINE	17
MIŁA	17
MIROSLAWA	17
NICOLETTE	17
NICOLLE	17
ORLA	17
PATRYCIA	17
PAULETTE	17
PETROVA	17
REMIGIA	17
SHANNON	17
SKYE	17
TANITA	17
TARSYLIA	17
TEREZA	17
ULA	17
ZIPORA	17
ZYGLINDA	17
ADELAIDE	16
AILEEN	16
AMA	16
ARTEMIS	16
BARABARA	16
BINTI	16
BORYSŁAWA	16
BOŻYDARA	16
BRATUMIŁA	16
CAMELIA	16
CHANTELLE	16
CHEN	16
CHI	16
CORA	16
CORINNE	16
DARINA	16
DESIREE	16
DVORA	16
EDUARDA	16
ELIA	16
ELŹBIETA	16
EUN	16
FELICYTAS	16
FLAVIA	16
