values	weights
 	9575300
MARIA	1499382
ANNA	895806
KATARZYNA	417951
BARBARA	411704
EWA	375456
TERESA	372948
MAŁGORZATA	333886
ELŻBIETA	319209
MAGDALENA	299440
AGNIESZKA	276373
ZOFIA	271439
KRYSTYNA	228435
JADWIGA	203242
JOANNA	199337
JANINA	169439
MONIKA	163031
HELENA	159299
MARTA	135449
DOROTA	133720
DANUTA	133090
STANISŁAWA	130703
IRENA	122698
BEATA	119753
JOLANTA	119082
WERONIKA	116982
ALEKSANDRA	113380
KAROLINA	109958
URSZULA	103403
GRAŻYNA	97935
WIKTORIA	95745
HALINA	90400
MARIANNA	84682
ALICJA	84492
KAZIMIERA	84424
IWONA	83622
JÓZEFA	82672
JULIA	82592
BOŻENA	81680
AGATA	80759
IZABELA	79088
NATALIA	76863
JUSTYNA	73993
SYLWIA	72567
PAULINA	67691
PATRYCJA	61242
WANDA	60149
RENATA	58486
KINGA	58163
ŁUCJA	51842
EMILIA	47384
DOMINIKA	47229
STEFANIA	44860
GABRIELA	42763
ZUZANNA	42658
WIESŁAWA	42334
MARZENA	41888
ANTONINA	41827
EDYTA	38986
LUCYNA	38221
WŁADYSŁAWA	36132
EWELINA	35604
HANNA	34758
ANIELA	34634
LIDIA	34526
KLAUDIA	33640
ANETA	32547
BOGUMIŁA	32501
MARIOLA	31618
KAMILA	30346
GENOWEFA	29898
OLIWIA	27602
FRANCISZKA	27408
CECYLIA	27023
MIROSŁAWA	26918
HENRYKA	26620
BRONISŁAWA	26617
SABINA	26599
ALINA	24540
DARIA	24274
REGINA	24230
BOGUSŁAWA	23884
CZESŁAWA	23485
MICHALINA	22035
WIOLETTA	21131
MAJA	20953
RÓŻA	20437
ANGELIKA	20182
MARTYNA	19518
ROZALIA	19441
BERNADETA	16683
AMELIA	15951
OLGA	15875
ZDZISŁAWA	15535
LAURA	14865
LEOKADIA	14649
ANASTAZJA	14483
GERTRUDA	14056
MIECZYSŁAWA	13073
ILONA	12816
ANITA	12241
KLARA	12217
SANDRA	12021
EUGENIA	11805
WIOLETA	11400
LENA	11032
DAGMARA	10473
MARLENA	10154
HONORATA	10073
ELIZA	9644
NIKOLA	9567
BRYGIDA	9510
JAGODA	9026
KORNELIA	8976
CELINA	8966
LUDWIKA	8902
SARA	8783
KARINA	8632
DANIELA	8517
MILENA	8469
FAUSTYNA	8224
ROKSANA	7226
ADRIANNA	7085
MAGDA	6994
JULIANNA	6976
ALDONA	6923
MARCELINA	6901
LUIZA	6785
APOLONIA	6738
IZABELLA	6710
ŻANETA	6500
WACŁAWA	6490
MALWINA	6249
MATYLDA	5956
NINA	5933
ELEONORA	5917
DIANA	5798
RITA	5660
NADIA	5635
LILIANA	5603
JULITA	5570
ROMANA	5533
PAULA	5385
WALERIA	5275
AURELIA	5058
PELAGIA	4878
FELICJA	4864
VIOLETTA	4845
ELWIRA	4691
ADRIANA	4635
BOŻENNA	4493
BERNADETTA	4475
ADELA	4435
IGA	4367
KONSTANCJA	4105
ANDŻELIKA	4040
ALFREDA	3872
WALENTYNA	3756
JUDYTA	3744
BLANKA	3475
FELIKSA	3332
LILIANNA	3309
OTYLIA	3304
ZENONA	3278
ESTERA	3261
RYSZARDA	3167
MARZANNA	3121
SONIA	2995
VICTORIA	2974
JÓZEFINA	2957
KAJA	2955
POLA	2951
JOWITA	2930
ROMUALDA	2825
BERNARDA	2816
TEODORA	2646
TAMARA	2621
LUDMIŁA	2585
ALBINA	2581
OLIMPIA	2501
ARLETA	2407
MARIKA	2401
SŁAWOMIRA	2391
MELANIA	2310
NATASZA	2296
ZENOBIA	2256
HILDEGARDA	2234
KALINA	2226
TATIANA	2198
MARIE	2192
ERYKA	2084
SALOMEA	2064
INGA	2047
IRMINA	2035
ZYTA	2026
DONATA	2005
BALBINA	1947
AMANDA	1923
TEODOZJA	1916
BOLESŁAWA	1858
ADELAJDA	1777
LEONARDA	1716
GIZELA	1697
ELIZABETH	1686
EDWARDA	1669
LONGINA	1645
FLORENTYNA	1644
TEKLA	1617
MARZENNA	1588
MARYLA	1578
NICOLE	1561
OLIVIA	1549
TEOFILA	1531
MARCELA	1529
ADA	1465
IDA	1444
OKTAWIA	1423
LUCJA	1422
JESSICA	1408
EMMA	1396
BOGNA	1382
KLEMENTYNA	1382
VANESSA	1379
ALEXANDRA	1351
KRZYSZTOFA	1325
KUNEGUNDA	1319
LILLA	1245
NICOLA	1243
LILIA	1217
LIWIA	1206
MARCJANNA	1177
KAMILLA	1165
ANETTA	1118
MIA	1108
ROMA	1096
SAMANTA	1085
ELFRYDA	1043
ELENA	1032
LILA	1025
SOPHIE	1021
MIRELA	1015
BIANKA	984
SEWERYNA	976
KSENIA	968
SOFIA	953
IZA	918
EVA	910
ROSE	905
ANGELINA	891
NADZIEJA	885
PETRONELA	849
BENEDYKTA	831
VIKTORIA	831
NELA	815
AUGUSTYNA	803
ANN	798
INEZ	796
MIRIAM	792
BERNARDYNA	787
PAMELA	780
MANUELA	779
NOEMI	771
AMALIA	763
DOBROSŁAWA	761
FILOMENA	759
BERTA	758
STELLA	754
EULALIA	731
ANGELA	704
ELISABETH	696
LEA	687
WIRGINIA	681
EMANUELA	668
MICHELLE	666
SOPHIA	642
BERENIKA	638
CELESTYNA	638
ANDREA	636
WANESSA	634
SŁAWA	630
RUTA	629
GRETA	626
GAJA	613
GLORIA	601
ANNE	586
INES	576
OLA	575
JAROSŁAWA	562
LIGIA	557
GABRYELA	553
MIRELLA	552
MALINA	550
ERNA	541
LEONTYNA	531
GERDA	515
DOMICELA	513
GRACE	511
ISABELLA	500
KLAUDYNA	486
SYLWESTRA	482
LARYSA	477
BERNARDETA	475
LOUISE	475
VERONICA	473
HIACYNTA	469
CLAUDIA	468
JANE	466
PATRICIA	464
MARY	462
MAYA	462
BLANDYNA	461
ANTONIA	458
HELGA	454
SARAH	451
JAŚMINA	438
GRACJANA	436
MARIETTA	432
LINDA	428
MIRA	425
KORNELA	423
GRACJA	410
MERCEDES	406
IRMA	402
MARGARET	399
WANESA	397
RAMONA	395
LEONIA	389
NARCYZA	388
ERIKA	385
HANKA	385
CHRISTINA	382
EMILY	377
ISABEL	376
BOGDANA	375
CARMEN	374
CHRISTINE	374
ŻAKLINA	362
CRISTINA	357
NEL	353
LIZA	350
PRAKSEDA	347
DOBRAWA	335
AGNES	334
ARLETTA	334
DELFINA	333
EMA	329
CAROLINE	327
EUFEMIA	327
SYBILLA	327
RUTH	326
WINCENTYNA	325
VERONIKA	323
IWONNA	322
NATALIE	322
SABRINA	322
CHARLOTTE	319
ALICE	316
CATHERINE	316
FATIMA	316
JAGNA	314
AURORA	312
DAJANA	312
OKSANA	310
ALA	309
MARGARETA	309
EDELTRAUDA	305
ERNESTYNA	296
FRYDERYKA	296
KATHARINA	295
SCHOLASTYKA	289
RADOSŁAWA	288
WILHELMINA	288
INGRID	287
CAROLINA	285
JENNIFER	285
WALESKA	285
IRMGARDA	282
DŻESIKA	280
ABIGAIL	277
JOHANNA	277
KAROLA	277
ROBERTA	277
LUBOMIRA	272
IRENE	271
AUGUSTA	270
EMILA	264
ALICIA	261
ELA	258
KASANDRA	257
DALIA	256
ROSA	255
ADAMINA	254
MONICA	254
LUCIA	253
DOBROCHNA	252
LESŁAWA	252
MARTINA	250
NIKOL	250
BENIGNA	248
LUKRECJA	248
LARA	247
NICOL	245
MICHAELA	244
KSAWERA	243
HELEN	242
SZARLOTA	241
MODESTA	239
IDALIA	236
SIMONA	236
KARIN	235
BENITA	234
MARGOT	233
ANASTASIA	232
DOBROMIŁA	230
KRISTINA	229
DOLORES	228
SERAFINA	225
IZYDORA	224
MARITA	224
LILY	223
JOSEPHINE	220
MARTHA	219
MAJKA	216
ZBIGNIEWA	216
EUNIKA	215
HALSZKA	212
ISABELLE	212
NAOMI	212
JOLENTA	211
LUDOMIRA	210
LUDWINA	210
MIŁOSŁAWA	210
ZOJA	209
ELZA	208
HERMINA	208
LEONA	208
LUISA	205
JULITTA	203
FRANCESCA	202
CYRYLA	201
LEONORA	201
MIRANDA	200
ELLA	198
LISA	198
LYNN	198
ANIKA	194
KAUR	194
ALBERTYNA	193
IZOLDA	193
REBEKA	193
FILIPINA	192
RACHEL	191
KONSTANTYNA	190
ELZBIETA	189
VIOLETA	189
MARGARITA	186
ZOE	186
DAGNA	185
KATHERINE	185
KSYMENA	185
BEATRIZ	184
BIBIANNA	184
ŻANETTA	183
ALEJANDRA	182
RUT	180
BOGDA	179
RYTA	179
STEPHANIE	179
DEBORA	177
ANA	176
JOY	176
ARIADNA	175
CLAIRE	175
INGEBORGA	174
MARINA	174
GABRIELLA	173
LEE	173
RACHELA	171
PAOLA	167
JASMIN	166
JASMINA	163
LIVIA	163
ALOJZA	162
RAFAELA	162
SYLVIA	161
WINCENTA	160
ANIDA	157
DĄBRÓWKA	156
OTOLIA	154
PIA	154
INKA	153
JANA	152
URSULA	152
JACQUELINE	151
DORIS	150
THERESA	150
ELISA	149
ANH	148
EDMUNDA	148
HANNAH	148
NUR	148
HIERONIMA	147
KATE	146
AIDA	145
JULIANA	145
MELISA	145
PRZEMYSŁAWA	145
CLARA	144
KARMEN	143
MARIA TERESA	143
WIERA	143
ANGELICA	142
CECILIA	142
LETYCJA	142
ANICETA	141
MARIETA	141
FRANCES	140
MAY	140
VALENTINA	140
HELENE	139
SELENA	139
DENISE	138
AURELA	137
ROXANA	137
ARIANA	136
BEATRYCZE	136
KAREN	136
LORA	136
ESTHER	134
LAURENCJA	134
LUNA	133
MALGORZATA	133
ASTRID	132
KRYSTIANA	132
BIANCA	131
MILA	131
EDITH	130
ORIANA	129
AFRODYTA	128
JESICA	128
ANDŻELINA	127
JEAN	127
KORDULA	127
KRYSPINA	127
WŁODZIMIERA	126
ANDRZELIKA	125
KONRADA	125
NIKOLETTA	125
SOFIE	124
JESIKA	123
KLEOPATRA	123
NATHALIE	122
LUCY	121
HANA	120
SAMANTHA	120
THERESE	120
LUCJANNA	119
WALBURGA	119
WERA	119
FABIOLA	118
FELICYTA	117
FLORA	117
JUDITH	117
LILLY	117
ROZWITA	117
ESTER	116
HERTA	116
LUCJANA	116
STELA	116
TOLA	116
ALOJZJA	115
ARKADIA	115
HEDWIG	114
MARGARETE	114
SATURNINA	113
ŚWIĘTOSŁAWA	113
ALMA	112
ANNA MARIA	111
INGRIDA	111
BELLA	109
DIONIZA	109
EVE	109
HILDA	109
GUSTAWA	108
JOLA	108
DAMIANA	107
IWETTA	107
KIRA	107
NELLY	107
ERWINA	106
