values	weights
1 year old	11103
2 years old	11103
3 years old	15432
4 years old	15432
5 years old	15432
6 years old	15432
7 years old	32248
8 years old	32248
9 years old	32248
10 years old	32248
11 years old	32248
12 years old	32248
13 years old	32248
14 years old	32248
15 years old	14288
16 years old	14288
17 years old	14288
18 years old	14288
19 years old	23352
20 years old	23352
21 years old	23352
22 years old	23352
23 years old	23352
24 years old	23352
25 years old	142124
26 years old	142124
27 years old	142124
28 years old	142124
29 years old	142124
30 years old	142124
31 years old	142124
32 years old	142124
33 years old	142124
34 years old	142124
35 years old	142124
36 years old	142124
37 years old	142124
38 years old	142124
39 years old	142124
40 years old	142124
41 years old	142124
42 years old	142124
43 years old	142124
44 years old	142124
45 years old	142124
46 years old	142124
47 years old	142124
48 years old	142124
49 years old	142124
50 years old	142124
51 years old	142124
52 years old	142124
53 years old	142124
54 years old	142124
55 years old	142124
56 years old	142124
57 years old	142124
58 years old	142124
59 years old	142124
60 years old	142124
61 years old	142124
62 years old	142124
63 years old	142124
64 years old	142124
65 years old	71200
66 years old	71200
67 years old	71200
68 years old	71200
69 years old	71200
70 years old	71200
71 years old	71200
72 years old	71200
73 years old	71200
74 years old	71200
75 years old	71200
76 years old	71200
77 years old	71200
78 years old	71200
79 years old	71200
80 years old	71200
81 years old	71200
82 years old	71200
83 years old	71200
84 years old	71200
85 years old	71200
86 years old	71200
87 years old	71200
88 years old	71200
89 years old	71200
90 years old	71200
91 years old	71200
92 years old	71200
93 years old	71200
94 years old	71200
95 years old	71200
96 years old	71200
97 years old	71200
98 years old	71200
99 years old	71200
