territorial_id	values	powiats	area_ha	area_km2	weights	pop_per_km2	area_rank	pop_rank
021202 4	Lubomierz	Lwówecki	805	8	1987	247	616	848
021203 4	Lwówek Śląski	Lwówecki	1665	17	8753	526	360	436
022106 4	Mieroszów	Wałbrzyski	1031	10	3964	384	535	643
021405 4	Międzybórz	Oleśnicki	641	6	2341	365	678	805
020810 4	Międzylesie	Kłodzki	1437	14	2514	175	413	782
021303 4	Milicz	Milicki	1350	14	11199	830	435	367
021204 4	Mirsk	Lwówecki	1466	15	3786	258	407	657
020207 4	Niemcza	Dzierżoniowski	1981	20	2932	148	296	736
020804 1	Nowa Ruda	Kłodzki	3705	37	21643	584	126	201
020104 4	Nowogrodziec	Bolesławiecki	1610	16	4263	265	371	622
022001 4	Oborniki Śląskie	Trzebnicki	1446	14	9075	628	412	424
021401 1	Oleśnica	Oleśnicki	2096	21	36979	1764	272	123
021005 4	Olszyna	Lubański	2026	20	4325	213	286	617
021501 1	Oława	Oławski	2736	27	33087	1209	201	138
020603 1	Piechowice	Karkonoski	4322	43	6082	141	98	518
022504 4	Pieńsk	Zgorzelecki	992	10	5767	581	552	536
020203 4	Pieszyce	Dzierżoniowski	1772	18	7012	396	332	482
020204 1	Piława Górna	Dzierżoniowski	2093	21	6364	304	273	508
020805 1	Polanica-Zdrój	Kłodzki	1722	17	6228	362	343	513
021604 4	Polkowice	Polkowicki	2374	24	22435	945	232	192
020907 4	Prochowice	Legnicki	985	10	3556	361	555	682
022002 4	Prusice	Trzebnicki	1094	11	2226	203	517	819
021605 4	Przemków	Polkowicki	617	6	6079	985	684	519
020812 4	Radków	Kłodzki	1503	15	2401	160	396	799
022308 4	Siechnice	Wrocławski	1563	16	8851	566	381	433
022307 4	Sobótka	Wrocławski	3220	32	6954	216	164	483
020813 4	Stronie Śląskie	Kłodzki	238	2	5616	2360	805	547
021906 4	Strzegom	Świdnicki	2049	21	15873	775	281	282
021704 4	Strzelin	Strzeliński	1274	12	12383	972	461	347
021407 4	Syców	Oleśnicki	1705	17	10340	606	349	389
022103 1	Szczawno-Zdrój	Wałbrzyski	1474	15	5534	375	404	552
020814 4	Szczytna	Kłodzki	8038	80	5044	63	50	575
020604 1	Szklarska Poręba	Karkonoski	7544	75	6653	88	56	493
021104 4	Ścinawa	Lubiński	1354	13	5526	408	433	554
021804 4	Środa Śląska	Średzki	1494	15	9562	640	399	412
021901 1	Świdnica	Świdnicki	2176	22	56222	2584	263	77
021902 1	Świebodzice	Świdnicki	3043	30	22642	744	173	189
021002 1	Świeradów-Zdrój	Lubański	2072	21	3995	193	276	641
022604 4	Świerzawa	Złotoryjski	176	2	2234	1269	824	818
022003 4	Trzebnica	Trzebnicki	1061	11	13314	1255	528	331
021408 4	Twardogóra	Oleśnicki	829	8	6597	796	607	497
026501 1	Wałbrzych	Wałbrzych	8470	85	109971	1298	41	33
020404 4	Wąsosz	Górowski	324	3	2647	817	790	768
022506 4	Węgliniec	Zgorzelecki	873	9	2802	321	590	753
021705 4	Wiązów	Strzeliński	916	9	2198	240	578	823
021205 4	Wleń	Lwówecki	722	7	1725	239	649	879
022601 1	Wojcieszów	Złotoryjski	3217	32	3572	111	165	679
022203 4	Wołów	Wołowski	1854	19	12298	663	316	350
026401 1	Wrocław	Wrocław	29282	293	641928	2192	5	4
022501 1	Zawidów	Zgorzelecki	607	6	4132	681	688	635
022405 4	Ząbkowice Śląskie	Ząbkowicki	1367	14	14728	1077	429	299
022502 1	Zgorzelec	Zgorzelecki	1588	16	29810	1877	375	152
022406 4	Ziębice	Ząbkowicki	1507	15	8531	566	393	443
022602 1	Złotoryja	Złotoryjski	1151	12	15273	1327	500	291
022407 4	Złoty Stok	Ząbkowicki	773	8	2696	349	627	764
021908 4	Żarów	Świdnicki	757	8	6648	878	635	495
022006 4	Żmigród	Trzebnicki	949	10	6444	679	569	503
040101 1	Aleksandrów Kujawski	Aleksandrowski	723	7	12058	1668	648	353
041901 4	Barcin	Żniński	370	4	7313	1976	772	472
040201 1	Brodnica	Brodnicki	2315	23	28701	1240	241	158
041804 4	Brześć Kujawski	Włocławski	704	7	4563	648	655	593
046101 1	Bydgoszcz	Bydgoszcz	17598	176	344091	1955	11	8
040401 1	Chełmno	Chełmiński	1356	14	19205	1416	432	222
041501 1	Chełmża	Toruński	784	7	14362	1832	624	302
041806 4	Chodecz	Włocławski	190	2	2279	1199	821	815
040102 1	Ciechocinek	Aleksandrowski	1526	15	10534	690	388	382
040804 4	Dobrzyń nad Wisłą	Lipnowski	541	5	2072	383	709	841
040703 4	Gniewkowo	Inowrocławski	918	9	7060	769	577	477
040501 1	Golub-Dobrzyń	Golubsko-dobrzyński	750	8	12412	1655	638	346
040205 4	Górzno	Brodnicki	343	4	1403	409	782	906
046201 1	Grudziądz	Grudziądz	5776	58	93564	1620	75	40
040701 1	Inowrocław	Inowrocławski	3042	30	71674	2356	174	52
041808 4	Izbica Kujawska	Włocławski	224	2	2594	1158	813	774
040207 4	Jabłonowo Pomorskie	Brodnicki	335	3	3730	1113	786	662
040705 4	Janikowo	Inowrocławski	951	10	8638	908	568	439
041903 4	Janowiec Wielkopolski	Żniński	304	3	3897	1282	794	648
041301 4	Kamień Krajeński	Sępoleński	365	4	2335	640	774	807
041001 4	Kcynia	Nakielski	684	7	4515	660	664	597
040304 4	Koronowo	Bydgoski	2815	28	11070	393	191	373
041801 1	Kowal	Włocławski	468	5	3468	741	740	689
040504 4	Kowalewo Pomorskie	Golubsko-dobrzyński	445	4	4102	922	750	636
040706 4	Kruszwica	Inowrocławski	1023	10	9331	912	541	421
040801 1	Lipno	Lipnowski	1099	11	14283	1300	513	304
041811 4	Lubień Kujawski	Włocławski	231	2	1377	596	809	907
041812 4	Lubraniec	Włocławski	197	2	2927	1486	818	737
041904 4	Łabiszyn	Żniński	289	3	4501	1557	798	598
040603 4	Łasin	Grudziądzki	479	5	3161	660	734	708
040903 4	Mogilno	Mogileński	832	8	11652	1400	605	360
041002 4	Mrocza	Nakielski	501	5	4298	858	725	619
041003 4	Nakło nad Notecią	Nakielski	1082	11	18026	1666	520	240
040103 1	Nieszawa	Aleksandrowski	979	10	1834	187	556	866
041406 4	Nowe	Świecki	357	3	5724	1603	777	540
040707 4	Pakość	Inowrocławski	346	3	5624	1625	780	545
041105 4	Piotrków Kujawski	Radziejowski	976	9	4392	450	557	610
041101 1	Radziejów	Radziejowski	569	6	5499	966	701	555
040604 4	Radzyń Chełmiński	Grudziądzki	178	2	1784	1002	823	872
041201 1	Rypin	Rypiński	1096	10	15999	1460	515	278
041302 4	Sępólno Krajeńskie	Sępoleński	655	7	9004	1375	674	427
040807 4	Skępe	Lipnowski	748	8	3542	474	639	683
040308 4	Solec Kujawski	Bydgoski	1868	19	15614	836	314	285
040904 4	Strzelno	Mogileński	446	5	5589	1253	749	548
041005 4	Szubin	Nakielski	765	8	9578	1252	631	410
041409 4	Świecie	Świecki	1187	12	25486	2147	487	173
046301 1	Toruń	Toruń	11572	116	198613	1716	24	15
041606 4	Tuchola	Tucholski	1769	18	13534	765	335	326
041701 1	Wąbrzeźno	Wąbrzeski	853	9	13400	1571	599	329
041304 4	Więcbork	Sępoleński	431	4	5900	1369	756	528
046401 1	Włocławek	Włocławek	8508	85	108561	1276	40	34
041906 4	Żnin	Żniński	835	8	13623	1631	604	319
060702 4	Annopol	Kraśnicki	773	8	2436	315	627	795
060901 4	Bełżyce	Lubelski	2346	23	6399	273	236	506
066101 1	Biała Podlaska	Biała Podlaska	4940	49	56942	1153	86	75
060201 1	Biłgoraj	Biłgorajski	2110	21	26114	1238	267	170
060903 4	Bychawa	Lubelski	669	7	4814	720	668	582
066201 1	Chełm	Chełm	3528	35	61135	1733	140	69
061601 1	Dęblin	Rycki	3833	38	15887	414	115	281
060205 4	Frampol	Biłgorajski	467	5	1432	307	741	901
060206 4	Goraj	Biłgorajski	762	8	917	120	632	923
060401 1	Hrubieszów	Hrubieszowski	3303	33	17232	522	155	252
060505 4	Janów Lubelski	Janowski	1480	15	11661	788	402	359
060207 4	Józefów	Biłgorajski	500	5	2473	495	726	789
061202 4	Józefów nad Wisłą	Opolski	365	3	902	247	774	925
060805 4	Kamionka	Lubartowski	589	6	1712	291	694	882
061404 4	Kazimierz Dolny	Puławski	3044	31	2534	83	172	779
060806 4	Kock	Lubartowski	1678	17	3238	193	357	701
062004 4	Krasnobród	Zamojski	699	7	3074	440	658	723
060601 1	Krasnystaw	Krasnostawski	4213	42	18383	436	101	234
060701 1	Kraśnik	Kraśnicki	2610	26	33917	1300	214	135
060801 1	Lubartów	Lubartowski	1391	14	21636	1555	423	202
066301 1	Lublin	Lublin	14747	148	338586	2296	17	9
061805 4	Lubycza Królewska	Tomaszowski	392	4	2424	618	765	797
061806 4	Łaszczów	Tomaszowski	501	5	2111	421	725	835
061003 4	Łęczna	Łęczyński	1900	19	18675	983	308	229
061101 1	Łuków	Łukowski	3575	36	29441	824	138	155
060101 1	Międzyrzec Podlaski	Bialski	2003	20	16667	832	292	269
060506 4	Modliborzyce	Janowski	789	8	1459	185	622	899
061408 4	Nałęczów	Puławski	1382	14	3727	270	426	663
061205 4	Opole Lubelskie	Opolski	1512	15	8320	550	391	448
060810 4	Ostrów Lubelski	Lubartowski	2977	30	2089	70	182	837
061304 4	Parczew	Parczewski	805	8	10555	1311	616	381
061703 4	Piaski	Świdnicki	844	8	2531	300	601	780
061206 4	Poniatowa	Opolski	1526	15	8980	588	388	428
061401 1	Puławy	Puławski	5049	51	46965	930	83	93
061501 1	Radzyń Podlaski	Radzyński	1931	19	15428	799	303	288
060315 4	Rejowiec	Chełmski	650	6	2026	312	676	847
060301 1	Rejowiec Fabryczny	Chełmski	1428	15	4328	303	417	616
061604 4	Ryki	Rycki	2722	28	9531	350	203	414
060311 4	Siedliszcze	Chełmski	1316	13	1406	107	449	905
061102 1	Stoczek Łukowski	Łukowski	915	9	2480	271	579	788
062013 4	Szczebrzeszyn	Zamojski	2912	29	4962	170	184	578
061701 1	Świdnik	Świdnicki	2035	20	38763	1905	283	112
060212 4	Tarnogród	Biłgorajski	1069	11	3304	309	525	699
060102 1	Terespol	Bialski	1011	10	5457	540	546	557
061801 1	Tomaszów Lubelski	Tomaszowski	1329	13	18783	1413	443	227
061812 4	Tyszowce	Tomaszowski	1852	19	2054	111	317	843
060708 4	Urzędów	Kraśnicki	1291	13	1679	130	455	886
061901 1	Włodawa	Włodawski	1797	18	12915	719	326	334
066401 1	Zamość	Zamość	3034	30	62785	2069	175	63
062015 4	Zwierzyniec	Zamojski	619	6	3101	501	683	719
080901 4	Babimost	Zielonogórski	365	4	3901	1069	774	646
080402 4	Bytom Odrzański	Nowosolski	230	2	4244	1845	810	624
080501 4	Cybinka	Słubicki	529	6	2768	523	713	755
080903 4	Czerwieńsk	Zielonogórski	936	9	3947	422	571	645
080601 4	Dobiegniew	Strzelecko-drezdenecki	569	6	3017	530	701	725
080602 4	Drezdenko	Strzelecko-drezdenecki	1072	11	9978	931	524	395
086101 1	Gorzów Wielkopolski	Gorzów Wielkopolski	8572	86	122589	1430	36	29
081001 1	Gozdnica	Żagański	2392	24	2977	124	230	729
080201 1	Gubin	Krośnieński	2068	21	16528	799	277	273
081004 4	Iłowa	Żagański	918	10	3844	419	577	653
081104 4	Jasień	Żarski	479	5	4215	880	734	627
080904 4	Kargowa	Zielonogórski	455	5	3774	829	746	658
080101 1	Kostrzyn nad Odrą	Gorzowski	4614	46	17704	384	96	245
080404 4	Kożuchów	Nowosolski	594	6	9337	1572	693	419
080206 4	Krosno Odrzańskie	Krośnieński	815	8	11155	1369	614	368
080702 4	Lubniewice	Sulęciński	1211	12	2080	172	482	840
081106 4	Lubsko	Żarski	1251	13	13733	1098	468	315
081101 1	Łęknica	Żarski	1643	16	2396	146	364	800
081005 4	Małomice	Żagański	675	7	3496	518	666	687
080302 4	Międzyrzecz	Międzyrzecki	1026	10	17667	1722	538	247
080401 1	Nowa Sól	Nowosolski	2180	22	38191	1752	262	116
080406 4	Nowe Miasteczko	Nowosolski	329	3	2724	828	788	760
080905 4	Nowogród Bobrzański	Zielonogórski	1463	15	5060	346	408	573
080503 4	Ośno Lubuskie	Słubicki	801	8	3896	486	617	649
080407 4	Otyń	Nowosolski	786	8	1641	209	623	889
080504 4	Rzepin	Słubicki	1142	11	6485	568	503	501
080305 4	Skwierzyna	Międzyrzecki	3589	36	9454	263	136	416
081201 4	Sława	Wschowski	1490	14	4268	286	400	621
080505 4	Słubice	Słubicki	1921	19	16623	865	304	270
080604 4	Strzelce Krajeńskie	Strzelecko-drezdenecki	554	6	9833	1775	703	403
080906 4	Sulechów	Zielonogórski	688	7	16592	2412	661	272
080704 4	Sulęcin	Sulęciński	856	9	10005	1169	598	394
081202 4	Szlichtyngowa	Wschowski	155	2	1266	817	828	912
081007 4	Szprotawa	Żagański	1095	11	11530	1053	516	363
080805 4	Świebodzin	Świebodziński	1693	17	21550	1273	352	203
080705 4	Torzym	Sulęciński	911	9	2520	277	580	781
080306 4	Trzciel	Międzyrzecki	304	3	2339	769	794	806
080107 4	Witnica	Gorzowski	824	8	6666	809	609	491
081203 4	Wschowa	Wschowski	925	9	13717	1483	574	316
080806 4	Zbąszynek	Świebodziński	358	4	4997	1396	776	577
086201 1	Zielona Góra	Zielona Góra	27826	277	140892	506	6	24
081002 1	Żagań	Żagański	4038	40	25265	626	108	174
081102 1	Żary	Żarski	3349	33	37052	1106	151	121
102004 4	Aleksandrów Łódzki	Zgierski	1382	14	21754	1574	426	199
100101 1	Bełchatów	Bełchatowski	3464	35	56419	1629	143	76
101302 4	Biała Rawska	Rawski	953	9	3132	329	567	714
101402 4	Błaszki	Sieradzki	162	2	2047	1264	826	844
102101 1	Brzeziny	Brzeziński	2158	22	12365	573	264	348
100702 4	Drzewica	Opoczyński	481	5	3803	791	733	655
100901 4	Działoszyn	Pajęczański	494	5	5746	1163	729	538
102001 1	Głowno	Zgierski	1984	20	13961	704	295	311
101205 4	Kamieńsk	Radomszczański	1199	12	2703	225	484	762
100607 4	Koluszki	Łódzki wschodni	990	11	12776	1291	553	336
100801 1	Konstantynów Łódzki	Pabianicki	2725	27	18335	673	202	237
100204 4	Krośniewice	Kutnowski	418	4	4258	1019	759	623
100201 1	Kutno	Kutnowski	3359	34	43332	1290	150	103
101804 4	Lututów	Wieruszowski	1895	19	2241	118	309	817
100302 4	Łask	Łaski	1567	15	16925	1080	380	260
100401 1	Łęczyca	Łęczycki	895	9	13786	1540	584	313
100501 1	Łowicz	Łowicki	2342	23	27896	1191	237	160
106101 1	Łódź	Łódź	29325	293	672185	2292	4	3
100704 4	Opoczno	Opoczyński	2699	27	20746	769	207	210
102002 1	Ozorków	Zgierski	1546	15	19128	1237	385	223
100802 1	Pabianice	Pabianicki	3299	33	63945	1938	156	60
100904 4	Pajęczno	Pajęczański	2023	20	6651	329	287	494
100406 4	Piątek	Łęczycki	524	5	1690	323	716	885
106201 1	Piotrków Trybunalski	Piotrków Trybunalski	6724	67	72250	1075	65	50
101103 4	Poddębice	Poddębicki	587	6	7245	1234	695	473
101211 4	Przedbórz	Radomszczański	608	6	3458	569	687	690
101201 1	Radomsko	Radomszczański	5143	51	45353	882	79	97
101301 1	Rawa Mazowiecka	Rawski	1430	14	17193	1202	416	253
100610 4	Rzgów	Łódzki wschodni	1677	17	3382	202	358	693
101401 1	Sieradz	Sieradzki	5122	51	41390	808	80	104
106301 1	Skierniewice	Skierniewice	3460	35	47655	1377	145	89
102008 4	Stryków	Zgierski	815	8	3428	421	614	691
101009 4	Sulejów	Piotrkowski	2626	26	6130	233	211	517
101902 4	Szadek	Zduńskowolski	1793	17	1898	106	327	862
101601 1	Tomaszów Mazowiecki	Tomaszowski	4130	42	61338	1485	103	68
100611 4	Tuszyn	Łódzki wschodni	2325	23	7237	311	239	474
101104 4	Uniejów	Poddębicki	1223	12	2957	242	478	731
101409 4	Warta	Sieradzki	1085	11	3208	296	519	705
101709 4	Wieluń	Wieluński	1687	17	21892	1298	353	198
101807 4	Wieruszów	Wieruszowski	597	6	8446	1415	692	447
101011 4	Wolbórz	Piotrkowski	1518	15	2301	152	390	813
101901 1	Zduńska Wola	Zduńskowolski	2457	25	41288	1680	226	105
100108 4	Zelów	Bełchatowski	1075	11	7459	694	522	467
102003 1	Zgierz	Zgierski	4233	42	55673	1315	100	79
101411 4	Złoczew	Sieradzki	1379	14	3340	242	427	696
100211 4	Żychlin	Kutnowski	868	9	7964	918	592	455
120301 4	Alwernia	Chrzanowski	888	9	3336	376	585	697
121801 4	Andrychów	Wadowicki	1033	10	19837	1920	534	218
120502 4	Biecz	Gorlicki	1771	17	4549	257	333	594
120503 4	Bobowa	Gorlicki	718	7	3137	437	651	712
120101 1	Bochnia	Bocheński	2987	30	29554	989	181	153
120202 4	Brzesko	Brzeski	1192	12	16764	1406	486	267
121302 4	Brzeszcze	Oświęcimski	1904	19	11092	583	306	372
121201 1	Bukowno	Olkuski	6459	65	9976	154	69	396
121303 4	Chełmek	Oświęcimski	827	8	8912	1078	608	431
120303 4	Chrzanów	Chrzanowski	3832	38	36118	943	116	126
121601 4	Ciężkowice	Tarnowski	999	11	2447	245	550	791
120203 4	Czchów	Brzeski	1409	14	2323	165	420	809
120402 4	Dąbrowa Tarnowska	Dąbrowski	2320	23	11844	511	240	356
120901 4	Dobczyce	Myślenicki	1297	14	6425	495	454	505
120501 1	Gorlice	Gorlicki	2353	24	26973	1146	235	163
121001 1	Grybów	Nowosądecki	1695	17	5986	353	351	521
121501 1	Jordanów	Suski	2103	21	5152	245	270	568
121803 4	Kalwaria Zebrzydowska	Wadowicki	550	6	4469	813	704	601
121304 4	Kęty	Oświęcimski	2305	23	18443	800	243	232
121402 4	Koszyce	Proszowicki	325	3	775	238	789	928
126101 1	Kraków	Kraków	32685	327	779966	2386	2	2
121007 4	Krynica-Zdrój	Nowosądecki	3968	40	10456	264	111	386
120606 4	Krzeszowice	Krakowski	1697	18	9969	587	350	397
120304 4	Libiąż	Chrzanowski	3585	36	16838	470	137	264
120701 1	Limanowa	Limanowski	1870	19	15067	806	313	296
121506 4	Maków Podhalański	Suski	2012	20	5769	287	289	535
120805 4	Miechów	Miechowski	1549	15	11500	742	384	364
120702 1	Mszana Dolna	Limanowski	2710	27	7899	291	204	456
121011 4	Muszyna	Nowosądecki	2443	24	4737	194	229	587
120903 4	Myślenice	Myślenicki	3022	30	18325	606	177	238
121904 4	Niepołomice	Wielicki	2740	28	14022	512	200	309
121403 4	Nowe Brzesko	Proszowicki	726	8	1654	228	647	887
126201 1	Nowy Sącz	Nowy Sącz	5758	58	83558	1451	76	44
121101 1	Nowy Targ	Nowotarski	5107	51	33257	651	81	136
120106 4	Nowy Wiśnicz	Bocheński	497	5	2763	556	728	756
121205 4	Olkusz	Olkuski	2565	25	34757	1355	218	132
121301 1	Oświęcim	Oświęcimski	3000	30	37569	1252	179	119
121013 4	Piwniczna-Zdrój	Nowosądecki	3830	38	5793	151	117	533
121405 4	Proszowice	Proszowicki	733	7	5977	815	645	522
121112 4	Rabka-Zdrój	Nowotarski	3631	36	12662	349	133	339
121605 4	Radłów	Tarnowski	1683	17	2757	164	355	757
121606 4	Ryglice	Tarnowski	2515	25	2830	113	223	750
120610 4	Skała	Krakowski	297	3	3755	1264	796	659
120611 4	Skawina	Krakowski	2050	20	24366	1189	280	178
120612 4	Słomniki	Krakowski	343	3	4293	1252	782	620
121016 4	Stary Sącz	Nowosądecki	1500	15	9016	601	397	426
121502 1	Sucha Beskidzka	Suski	2765	28	9044	327	197	425
120907 4	Sułkowice	Myślenicki	1646	16	6658	404	363	492
121102 4	Szczawnica	Nowotarski	3290	33	5655	172	158	544
120407 4	Szczucin	Dąbrowski	685	7	4154	606	663	631
120614 4	Świątniki Górne	Krakowski	444	4	2441	550	751	792
126301 1	Tarnów	Tarnów	7238	72	107498	1485	59	35
120305 4	Trzebinia	Chrzanowski	3194	32	19507	611	166	219
121610 4	Tuchów	Tarnowski	1810	18	6510	360	323	499
121809 4	Wadowice	Wadowicki	1054	11	18379	1744	530	235
121905 4	Wieliczka	Wielicki	1341	13	24215	1806	438	179
121613 4	Wojnicz	Tarnowski	850	8	3310	389	600	698
121207 4	Wolbrom	Olkuski	1012	10	8480	838	545	445
121614 4	Zakliczyn	Tarnowski	402	4	1628	405	763	890
121701 1	Zakopane	Tatrzański	8426	84	26846	319	42	164
121309 4	Zator	Oświęcimski	1152	12	3616	314	499	673
121615 4	Żabno	Tarnowski	1113	11	4184	376	510	630
140101 4	Białobrzegi	Białobrzeski	751	8	6853	913	637	485
143701 4	Bieżuń	Żuromiński	1207	12	1829	152	483	867
143201 4	Błonie	Warszawski zachodni	909	9	12134	1335	581	351
141604 4	Brok	Ostrowski	2806	28	1904	68	193	860
142103 4	Brwinów	Pruszkowski	1468	15	13710	934	406	317
142202 4	Chorzele	Przasnyski	1751	18	3100	177	337	720
140201 1	Ciechanów	Ciechanowski	3278	33	43883	1339	159	101
142004 4	Czerwińsk nad Wisłą	Płoński	548	5	1010	184	705	920
141905 4	Drobin	Płocki	965	10	2821	292	563	752
140301 1	Garwolin	Garwoliński	2208	22	17548	795	256	250
141906 4	Gąbin	Płocki	2795	28	4082	146	195	638
140203 4	Glinojeck	Ciechanowski	737	7	2976	404	643	730
140401 1	Gostynin	Gostyniński	3240	32	18355	567	162	236
141801 4	Góra Kalwaria	Piaseczyński	1367	14	11988	877	429	354
140504 4	Grodzisk Mazowiecki	Grodziski	1319	14	32452	2460	447	141
140605 4	Grójec	Grójecki	857	8	16785	1959	597	266
141207 4	Halinów	Miński	284	3	3714	1308	799	664
142503 4	Iłża	Radomski	1583	17	4642	293	377	589
141701 1	Józefów	Otwocki	2391	24	20741	867	231	211
141209 4	Kałuszyn	Miński	1230	12	2862	233	476	746
141704 4	Karczew	Otwocki	2812	28	9811	349	192	405
143401 1	Kobyłka	Wołomiński	1964	20	25149	1280	299	175
141802 4	Konstancin-Jeziorna	Piaseczyński	1774	18	16889	952	331	262
142905 4	Kosów Lacki	Sokołowski	1157	11	2071	179	497	842
140705 4	Kozienice	Kozienicki	1045	10	16877	1615	531	263
140801 1	Legionowo	Legionowski	1354	14	53529	3953	433	82
140903 4	Lipsko	Lipski	1570	16	5377	342	378	561
143703 4	Lubowidz	Żuromiński	527	6	1645	312	714	888
140302 1	Łaskarzew	Garwoliński	1535	15	4809	313	386	583
143305 4	Łochów	Węgrowski	1339	13	6822	509	439	486
143205 4	Łomianki	Warszawski zachodni	840	8	17080	2033	602	254
141002 4	Łosice	Łosicki	2374	24	7023	296	232	480
141101 1	Maków Mazowiecki	Makowski	1028	10	9575	931	537	411
143402 1	Marki	Wołomiński	2615	26	36816	1408	213	125
140501 1	Milanówek	Grodziski	1344	13	16478	1226	436	274
141201 1	Mińsk Mazowiecki	Miński	1318	13	40916	3104	448	108
141301 1	Mława	Mławski	3480	35	31129	895	142	146
140607 4	Mogielnica	Grójecki	1298	13	2193	169	453	824
142605 4	Mordy	Siedlecki	454	5	1710	377	747	883
141212 4	Mrozy	Miński	773	8	3586	464	627	677
143802 4	Mszczonów	Żyrardowski	856	9	6290	735	598	511
141508 4	Myszyniec	Ostrołęcki	1122	11	3397	303	507	692
141404 4	Nasielsk	Nowodworski	1257	13	7650	609	465	460
140608 4	Nowe Miasto nad Pilicą	Grójecki	1125	11	3672	326	505	667
141401 1	Nowy Dwór Mazowiecki	Nowodworski	2821	28	28691	1017	190	159
146101 1	Ostrołęka	Ostrołęka	3346	33	51656	1544	152	83
141601 1	Ostrów Mazowiecka	Ostrowski	2227	22	22216	998	254	193
141702 1	Otwock	Otwocki	4731	47	44317	937	90	99
143206 4	Ożarów Mazowiecki	Warszawski zachodni	813	8	12432	1529	615	344
141804 4	Piaseczno	Piaseczyński	1622	16	48670	3001	367	88
142101 1	Piastów	Pruszkowski	576	6	22559	3916	699	190
140310 4	Pilawa	Garwoliński	666	7	4564	685	670	592
142501 1	Pionki	Radomski	1840	18	17902	973	319	242
146201 1	Płock	Płock	8804	88	118268	1343	35	32
142001 1	Płońsk	Płoński	1160	12	21924	1890	495	196
140502 1	Podkowa Leśna	Grodziski	1013	10	3801	375	544	656
142102 1	Pruszków	Pruszkowski	1919	19	62623	3263	305	64
142201 1	Przasnysz	Przasnyski	2516	25	17055	678	222	255
142306 4	Przysucha	Przysuski	702	7	5769	822	656	535
142404 4	Pułtusk	Pułtuski	2307	23	19294	836	242	221
142002 1	Raciąż	Płoński	840	8	4390	523	602	612
146301 1	Radom	Radom	11180	112	209296	1872	25	14
143409 4	Radzymin	Wołomiński	2339	23	13313	569	238	332
141107 4	Różan	Makowski	666	7	2698	405	670	763
140404 4	Sanniki	Gostyniński	1176	12	1932	164	492	853
140804 4	Serock	Legionowski	1343	13	4658	347	437	588
146401 1	Siedlce	Siedlce	3186	32	77813	2442	167	46
142701 1	Sierpc	Sierpecki	1859	19	17788	957	315	244
142510 4	Skaryszew	Radomski	2749	27	4310	157	199	618
142801 1	Sochaczew	Sochaczewski	2619	26	35891	1370	212	127
142011 4	Sochocin	Płoński	683	7	1900	278	665	861
142901 1	Sokołów Podlaski	Sokołowski	1751	18	18814	1074	337	226
140906 4	Solec nad Wisłą	Lipski	2091	21	939	45	274	922
