territorial_id	values	powiats	area_ha	area_km2	weights	pop_per_km2	area_rank	pop_rank
022401 4	Bardo	Ząbkowicki	471	5	2497	530	739	785
020201 1	Bielawa	Dzierżoniowski	3621	36	29523	815	135	154
021402 4	Bierutów	Oleśnicki	836	8	4809	575	603	583
022503 4	Bogatynia	Zgorzelecki	5988	60	17037	285	72	256
022101 1	Boguszów-Gorce	Wałbrzyski	2702	27	15154	561	205	294
020101 1	Bolesławiec	Bolesławiecki	2357	24	38486	1633	234	114
020502 4	Bolków	Jaworski	768	8	4913	640	629	581
022201 4	Brzeg Dolny	Wołowski	1720	17	12480	726	344	341
020806 4	Bystrzyca Kłodzka	Kłodzki	1074	11	9878	920	523	401
021601 4	Chocianów	Polkowicki	900	9	7773	864	583	457
020901 1	Chojnów	Legnicki	532	5	13236	2488	711	333
020801 1	Duszniki-Zdrój	Kłodzki	2228	22	4422	198	253	608
020202 1	Dzierżoniów	Dzierżoniowski	2007	20	32869	1638	291	139
020301 1	Głogów	Głogowski	3511	35	66120	1883	141	59
022105 4	Głuszyca	Wałbrzyski	1621	16	6246	385	368	512
020401 4	Góra	Górowski	1365	14	11574	848	430	361
021201 4	Gryfów Śląski	Lwówecki	663	7	6509	982	671	500
020501 1	Jawor	Jaworski	1880	19	22462	1195	311	191
021904 4	Jaworzyna Śląska	Świdnicki	434	4	5118	1179	755	570
022102 1	Jedlina-Zdrój	Wałbrzyski	1745	17	4789	274	338	584
021503 4	Jelcz-Laskowice	Oławski	1706	17	15648	917	348	284
026101 1	Jelenia Góra	Jelenia Góra	10922	109	78335	717	28	45
022403 4	Kamieniec Ząbkowicki	Ząbkowicki	1299	13	4467	344	452	602
020701 1	Kamienna Góra	Kamiennogórski	1804	18	18585	1030	324	230
020601 1	Karpacz	Karkonoski	3799	38	4487	118	121	599
022304 4	Kąty Wrocławskie	Wrocławski	861	9	7028	816	595	479
020802 1	Kłodzko	Kłodzki	2484	25	26421	1064	225	169
020602 1	Kowary  Karkonoski	3739	37	10650	285	123	379
020803 1	Kudowa-Zdrój	Kłodzki	3390	34	9772	288	147	408
020808 4	Lądek-Zdrój	Kłodzki	2032	20	5466	269	284	556
026201 1	Legnica	Legnica	5629	56	98436	1749	77	39
021003 4	Leśna	Lubański	856	9	4391	513	598	611
021001 1	Lubań	Lubański	1612	16	20723	1286	370	212
020703 4	Lubawka	Kamiennogórski	2244	22	5940	265	249	525
021101 1	Lubin	Lubiński	4077	41	71710	1759	104	51
